slide_id,elapsed_seconds,error
normal_001,0.026314,
normal_005,0.030748,
normal_004,0.031097,
normal_002,0.032121,
normal_009,0.031689,
normal_008,0.032181,
normal_013,0.032169,
normal_012,0.032647,
normal_016,0.033402,
normal_014,0.034013,
normal_030,0.031927,
normal_021,0.033902,
normal_006,0.036061,
normal_017,0.035012,
normal_018,0.035239,
normal_010,0.036531,
normal_042,0.032196,
normal_011,0.037027,
normal_020,0.036244,
normal_007,0.038109,
normal_015,0.037811,
normal_003,0.039373,
normal_023,0.037192,
normal_044,0.033690,
normal_027,0.037294,
normal_019,0.038699,
normal_028,0.037843,
normal_022,0.039089,
normal_029,0.038331,
normal_026,0.039238,
normal_039,0.037479,
normal_046,0.036260,
normal_025,0.040114,
normal_064,0.032900,
normal_045,0.037848,
normal_032,0.040015,
normal_037,0.039716,
normal_054,0.036248,
normal_043,0.039136,
normal_038,0.040344,
normal_041,0.040251,
normal_048,0.038876,
normal_058,0.037093,
normal_024,0.043959,
normal_047,0.040163,
normal_056,0.038528,
normal_060,0.037991,
normal_051,0.040313,
normal_052,0.040470,
normal_049,0.041501,
normal_036,0.044521,
normal_065,0.022851,
normal_035,0.045148,
normal_031,0.046179,
normal_033,0.046158,
normal_034,0.046335,
normal_057,0.042056,
normal_040,0.046341,
normal_055,0.043189,
normal_061,0.042333,
normal_053,0.044379,
normal_062,0.042781,
normal_050,0.045633,
normal_059,0.044277,
normal_063,0.043773,
normal_102,0.009784,
normal_103,0.009865,
normal_108,0.009076,
normal_104,0.010727,
normal_105,0.010814,
normal_101,0.012492,
normal_106,0.011304,
normal_107,0.011399,
normal_109,0.010913,
normal_110,0.010993,
normal_067,0.026591,
normal_112,0.011172,
normal_111,0.011768,
normal_071,0.025964,
normal_069,0.027412,
normal_116,0.011137,
normal_115,0.011836,
normal_066,0.029621,
normal_113,0.013277,
normal_117,0.012279,
normal_119,0.011918,
normal_118,0.012577,
normal_120,0.012191,
normal_122,0.011679,
normal_068,0.030786,
normal_123,0.011908,
normal_072,0.029832,
normal_125,0.011867,
normal_121,0.013644,
normal_127,0.011760,
normal_126,0.012326,
normal_124,0.013510,
normal_078,0.028809,
normal_073,0.030778,
normal_130,0.012239,
normal_132,0.011737,
normal_128,0.013667,
normal_075,0.031371,
normal_131,0.012816,
normal_070,0.034723,
