id	filename	md5	size	state
e1af8899-f47a-4599-9f8e-f152c0056b45	TCGA-BH-A1EW-01Z-00-DX1.A6A5F9C5-FB97-4DA3-A1EA-1F84BC006681.svs	19db5bb8563a82ceff61516adff8d726	1198113167	released
adf3d973-0cab-4983-bec9-d52f06a2fd52	TCGA-BH-A28Q-01Z-00-DX1.C6D1CA93-6B2A-4722-9270-5D56592D833D.svs	95925673c04b4d67a9ce9e02c1ea943d	2180366415	released
56f36b87-7402-4b3c-b18d-d10e56e2435d	TCGA-BH-A2L8-01Z-00-DX1.ACA51CA9-3C38-48A6-B4A9-C12FFAB9AB56.svs	412f2cccfa643de759fcb2e5b360f964	2252985725	released
c0a952a1-88ea-43ac-a6db-4f40a5684630	TCGA-BH-A42U-01Z-00-DX1.130D060A-3DD8-407E-B8B0-EBBF743491AE.svs	c55e51ca263bc0d85da1b25aa60c86dd	1640645063	released
b411c802-4c8d-4b65-8eee-72a538f14f65	TCGA-C8-A12Q-01Z-00-DX1.CE74E5B7-FD30-4CBE-8716-ECCF2213AAC3.svs	69e6ca0e1bd272bef529229b65bcc265	857550913	released
c92280a3-2025-463e-b791-1946c09964dd	TCGA-C8-A12V-01Z-00-DX1.84B29360-B87B-4648-A697-B6610336C2BB.svs	28797623aabac0474f91328b9c8adb43	1318438387	released
1f655c4a-0e64-4d6e-b016-b134905d773b	TCGA-D8-A142-01Z-00-DX1.F6D58989-9120-40C9-918D-6B1650C1A8E8.svs	aaedf4acb9cf41c3c819ff1456998b72	1286239095	released
bda827b2-0471-4e0f-8709-4d464fbf6cb4	TCGA-D8-A1J9-01Z-00-DX2.E1C59487-9563-4501-845F-2067A0C5C59B.svs	71886fac2281bd4f7f2dfce2ab6ae77b	896117759	released
0690adaa-a9b6-4d46-85fc-95f3d1d0a36d	TCGA-D8-A1JC-01Z-00-DX1.16D32FE8-4D76-4EEC-9739-D394087605BC.svs	a5dff266d7d0674fe79000ce812bb02f	792969147	released
85cfb6b8-3bc7-431f-b933-b2b2fa1aed6f	TCGA-D8-A1XC-01Z-00-DX1.E7494388-838B-4D35-9CA1-77017CBE77F2.svs	0dcf0bd65cac69a157d54d4a97f3f94f	1250877233	released
22fddedb-f726-4c11-9ce7-080be5658746	TCGA-D8-A27I-01Z-00-DX1.ACAE0048-7AF0-41C9-992B-6ACDABF80B1C.svs	618109e4c623478a7a780f1267bf3144	545973123	released
e7e631fd-9fab-41af-aa9a-f6501a29af8b	TCGA-D8-A73U-01Z-00-DX1.6ECEF7C0-00CC-4AC2-87BD-DBFB6E0DC042.svs	cf7d8878d33342d6577669fa917acc51	676197071	released
531d9a9e-8db6-4f21-966c-3fb2a3e476ea	TCGA-E2-A1B5-01Z-00-DX1.AB19FF3D-5C42-4D49-ABEA-D2315709B6EA.svs	ea3f992a4d7d623bc30566afa0a00af8	1441854345	released
a7ccf35e-56a9-4bd9-904c-59b1b0cc33b4	TCGA-E2-A1L6-01Z-00-DX1.AFE87067-2BFD-42C2-9334-9DDE8AB61B49.svs	fdb1edb5b09f310fe24e57179f3ea653	1267611355	released
83aa45a7-b531-42da-ba40-c0e14ed36f26	TCGA-E2-A2P5-01Z-00-DX1.375B5E5D-D8D0-425C-9163-6DF26E31BBE1.svs	88beee25a9e040381cecd2c042857ead	1931678159	released
aa84c53f-acc0-422b-99d3-c0faf15d9140	TCGA-E9-A1RC-01Z-00-DX1.8e1008da-b17b-4096-a070-f536fe8ce52d.svs	a541b4287c4a989142e7852c40d434ef	645078633	released
8fb9bb79-fa5d-4be9-a636-c9251b9b9a6e	TCGA-E9-A244-01Z-00-DX1.4FDAA892-9DBF-4E5D-89F3-2A84C8AC8F0A.svs	2e0b9c8a4a483af9fd14042068b29636	1123724747	released
64cf590d-97ba-46a6-a9b0-b79a415de9d3	TCGA-EW-A2FS-01Z-00-DX1.A01C9183-2AC8-456A-B5A6-85C5BB0361D8.svs	94a70f2fe16c3cbb3293bf61a6746cbf	1393229649	released
33e614a6-2488-4ffc-8c09-ba4fcf235d74	TCGA-EW-A3U0-01Z-00-DX1.526F60F9-D1EB-4613-B428-18A1FC0BAAE2.svs	624225d773fbc484841fa2c6af365a12	1583315923	released
206ccd79-310d-40a4-852c-03930e685304	TCGA-EW-A6SB-01Z-00-DX1.D56E1922-01A9-4AEE-AB95-D69447DD13EE.svs	09f71a39a78d53f7ba588276ec584337	1394236491	released
994db278-3ed5-4527-9066-a45867be7ef2	TCGA-GM-A2D9-01Z-00-DX1.AF4BF2DD-05FB-400B-A1BC-6E7C9B9DDF05.svs	03a2a7e636af32a4bd972db4b667a73a	1364080617	released
bcd6977f-b269-48c4-b088-ddf8d6d95240	TCGA-GM-A2DF-01Z-00-DX1.CD0BE6D7-2DB3-4193-84CC-F9BE7BF18CC2.svs	bc7cc0646a46a6fd25e382b406ebd8fd	1351496357	released
d8bb2eff-1616-421c-897f-dbf75e509edb	TCGA-LQ-A4E4-01Z-00-DX1.CF422C39-614F-4F14-813B-95BB7B171977.svs	cd76f811fe04d9ff67b1768b84995f40	1624327729	released
bf4c4578-c186-49b8-88ee-b9dea446c6c8	TCGA-OK-A5Q2-01Z-00-DX4.83B45D6C-E350-4436-812F-4155D9F7D331.svs	f34257a8d65607c639e7bad463e239ab	1436614819	released
0f02454b-d62b-4fc8-9660-142e0ab066bf	TCGA-S3-A6ZG-01Z-00-DX1.659A0BFB-D99B-474F-B4C2-6590C9161BD1.svs	265cdb00ffc83fbefe6c22a174c050a5	928174865	released
