step_idx,phase,t_step_start_s,t_step_end_s,step_duration_ms,t_dataload_ms,t_forward_ms,t_backward_ms,t_optimizer_ms,samples_per_step,num_workers,loss,n_tiles_in_step
64,ramp,4.133470,4.182425,48.955,6.910,1.084,0.772,40.335,1,16,0.781250,14788
65,ramp,4.182902,4.198830,15.927,10.603,1.700,1.208,2.723,1,16,0.980957,22545
66,ramp,4.199190,4.209010,9.820,3.194,0.376,0.273,6.147,1,16,0.872070,6564
67,ramp,4.209439,4.221745,12.306,3.509,0.436,0.312,8.365,1,16,0.335693,7157
68,ramp,4.222029,4.224282,2.253,1.694,0.171,0.163,0.426,1,16,0.304688,3307
69,ramp,4.224558,4.233016,8.458,6.558,1.024,0.724,0.352,1,16,0.429443,13974
70,ramp,4.233252,4.239534,6.282,4.872,0.695,0.522,0.364,1,16,0.491455,10342
71,ramp,4.239780,4.246941,7.161,5.587,0.821,0.587,0.346,1,16,0.470947,11889
72,ramp,4.247180,4.249577,2.397,0.598,0.257,1.258,0.455,1,16,0.907227,960
73,ramp,4.249867,4.253127,3.261,2.682,0.225,0.224,0.343,1,16,0.509766,5522
74,ramp,4.253371,4.256432,3.061,2.453,0.230,0.210,0.345,1,16,0.828125,5012
75,ramp,4.323130,4.336822,13.692,72.736,0.992,0.709,5.879,1,16,0.583008,13701
76,ramp,4.337086,4.343638,6.552,5.101,0.730,0.534,0.367,1,16,0.678711,10825
77,ramp,4.343876,4.346022,2.147,1.891,0.183,0.174,0.069,1,16,1.386719,3800
78,ramp,4.346263,4.348440,2.177,1.662,0.169,0.163,0.361,1,16,1.080078,3276
79,ramp,4.374652,4.381481,6.829,31.284,0.777,0.555,0.358,1,16,0.435791,11328
80,ramp,4.491986,4.504201,12.215,119.645,1.533,1.084,0.388,1,16,0.444336,20267
81,ramp,4.504480,4.506762,2.283,1.786,0.157,0.173,0.377,1,16,1.249023,3486
82,ramp,4.507038,4.536886,29.848,3.180,0.396,0.293,26.184,1,16,0.601074,6755
83,ramp,4.537133,4.547398,10.265,7.902,1.257,0.904,0.376,1,16,1.028320,16975
84,ramp,4.547636,4.549766,2.131,1.229,0.139,0.469,0.462,1,16,1.272461,2350
85,ramp,4.550018,4.575480,25.463,1.349,0.125,23.465,0.705,1,16,1.293945,2579
86,ramp,4.575746,4.584508,8.762,6.751,1.072,0.752,0.364,1,16,0.553711,14447
87,ramp,4.584746,4.606943,22.197,2.327,0.211,18.853,0.944,1,16,1.406250,4761
88,ramp,4.677545,4.686522,8.978,77.225,1.103,0.785,0.365,1,16,0.739258,14942
89,ramp,4.802347,4.814745,12.398,125.072,1.562,1.117,0.400,1,16,1.093750,20606
90,ramp,4.814965,4.829356,14.391,5.231,0.753,0.550,7.942,1,16,1.053711,11161
91,ramp,4.829774,4.836451,6.677,5.321,0.744,0.538,0.398,1,16,1.045898,10997
92,ramp,4.888538,4.912653,24.115,61.895,1.642,1.190,11.345,1,16,0.456055,21855
93,ramp,4.912937,4.915090,2.153,1.016,0.114,0.764,0.441,1,16,0.463379,1855
94,ramp,4.915347,4.921126,5.780,4.514,0.650,0.468,0.339,1,16,0.488525,9512
95,ramp,5.024328,5.054279,29.951,112.516,1.575,1.128,17.825,1,16,0.663574,20896
96,ramp,5.054696,5.061245,6.549,5.225,0.728,0.535,0.383,1,16,0.755371,10820
97,ramp,5.113102,5.125907,12.805,61.354,1.591,1.169,0.471,1,16,0.994629,21236
98,ramp,5.126279,5.128821,2.543,1.358,0.133,0.565,0.781,1,16,0.530762,2744
99,ramp,5.129084,5.158472,29.388,5.949,0.918,21.591,1.024,1,16,0.776367,12641
100,ramp,5.158739,5.168980,10.242,7.867,1.258,0.906,0.388,1,16,0.406982,16853
101,ramp,5.169286,5.191576,22.290,1.729,0.156,0.165,20.348,1,16,0.972656,3463
102,ramp,5.191958,5.198551,6.593,5.200,0.736,0.554,0.381,1,16,0.497314,10827
103,ramp,5.198797,5.205742,6.945,5.417,0.785,0.565,0.355,1,16,0.523438,11521
104,ramp,5.206024,5.232231,26.206,2.228,22.716,1.005,0.469,1,16,0.756836,4503
105,ramp,5.232471,5.237548,5.077,3.965,0.557,0.378,0.346,1,16,0.575195,8345
106,ramp,5.237767,5.240098,2.331,1.782,0.178,0.168,0.353,1,16,0.762207,3600
107,ramp,5.240398,5.273816,33.418,6.830,1.068,0.753,24.973,1,16,0.572754,14497
108,ramp,5.274386,5.283673,9.288,7.434,1.129,0.807,0.361,1,16,0.659668,15374
109,ramp,5.283931,5.286018,2.086,1.017,0.117,0.693,0.449,1,16,0.776855,1850
110,ramp,5.286266,5.319048,32.783,5.981,0.922,0.665,25.347,1,16,1.122070,12780
111,ramp,5.319559,5.329138,9.579,7.512,1.161,0.834,0.403,1,16,0.480225,15864
112,ramp,5.354909,5.361388,6.478,30.521,0.727,0.543,0.390,1,16,0.909180,10655
113,ramp,5.361656,5.374795,13.139,1.125,10.578,1.108,0.526,1,16,0.809082,2058
114,ramp,5.437174,5.447989,10.814,70.315,1.338,0.963,0.502,1,16,0.601562,17894
115,ramp,5.448260,5.474932,26.672,3.079,0.340,0.269,23.165,1,16,0.685547,6372
116,ramp,5.475187,5.479066,3.880,3.014,0.370,0.262,0.407,1,16,0.722168,6250
117,ramp,5.479346,5.487967,8.621,6.675,1.038,0.735,0.377,1,16,0.937012,14212
118,ramp,5.509836,5.517826,7.990,27.763,0.959,0.688,0.346,1,16,0.665039,13274
119,ramp,5.577199,5.592732,15.533,71.017,1.967,1.448,0.406,1,16,0.656250,25734
120,ramp,5.685038,5.706092,21.054,104.298,2.037,1.457,5.437,1,16,0.460693,26566
121,ramp,5.706576,5.709098,2.522,2.114,0.213,0.179,0.399,1,16,0.868164,4071
122,ramp,5.709321,5.715719,6.398,4.919,0.707,0.527,0.398,1,16,0.505371,10477
123,ramp,5.741447,5.749215,7.768,31.434,0.925,0.664,0.402,1,16,0.930176,12786
124,ramp,5.749471,5.752052,2.581,2.054,0.166,0.187,0.356,1,16,0.666992,4122
125,ramp,5.752302,5.754435,2.133,1.507,0.136,0.154,0.515,1,16,0.562012,2933
126,ramp,5.779269,5.796234,16.964,30.624,0.953,0.680,9.208,1,16,0.850098,13127
127,ramp,5.796785,5.800777,3.992,2.749,0.219,0.982,0.485,1,16,0.967285,5270
128,ramp,5.840989,5.854673,13.683,44.830,0.703,0.524,7.723,1,16,0.820312,10397
129,ramp,5.855160,5.857787,2.627,2.258,0.218,0.191,0.362,1,16,0.929199,4304
130,ramp,5.858073,5.860243,2.170,0.554,0.368,0.994,0.473,1,16,0.693359,950
131,ramp,5.874273,5.883877,9.604,16.991,0.393,0.289,5.842,1,16,0.765625,6697
132,ramp,5.884394,5.887180,2.786,2.369,0.214,0.200,0.397,1,16,0.655762,4444
133,ramp,5.958322,5.967163,8.841,77.674,1.070,0.756,0.412,1,16,0.923340,14522
134,ramp,5.997930,6.007313,9.383,37.719,1.139,0.807,0.407,1,16,0.973633,15465
135,ramp,6.035944,6.050532,14.588,35.148,1.078,0.769,6.075,1,16,0.383789,14696
136,ramp,6.050926,6.055629,4.703,3.831,0.476,0.349,0.355,1,16,0.702637,7768
137,ramp,6.055860,6.059180,3.320,2.632,0.256,0.217,0.378,1,16,0.743164,5443
138,ramp,6.179075,6.190730,11.655,128.570,1.473,1.032,0.407,1,16,0.995117,19406
139,ramp,6.191044,6.193219,2.175,1.646,0.160,0.165,0.447,1,16,1.095703,3102
140,ramp,6.193454,6.199930,6.475,5.047,0.726,0.530,0.342,1,16,0.443604,10716
141,ramp,6.200171,6.205469,5.298,4.131,0.590,0.414,0.339,1,16,0.447754,8705
142,ramp,6.205697,6.236607,30.910,5.188,0.744,24.153,0.964,1,16,0.892578,11053
143,ramp,6.236945,6.239917,2.973,2.429,0.198,0.208,0.359,1,16,0.417969,4880
144,ramp,6.240163,6.269157,28.994,7.887,1.253,0.905,19.110,1,16,0.676270,16928
145,ramp,6.414947,6.437459,22.512,162.667,2.939,2.178,0.416,1,16,0.881348,37279
146,ramp,6.437764,6.444514,6.750,5.295,0.768,0.561,0.357,1,16,0.540527,11385
147,ramp,6.444747,6.446836,2.089,1.105,0.123,0.563,0.461,1,16,0.792969,2089
148,ramp,6.447064,6.454455,7.391,5.693,0.862,0.604,0.393,1,16,0.648438,12149
149,ramp,6.454710,6.456896,2.186,0.829,0.106,0.947,0.492,1,16,0.747070,1454
150,ramp,6.457126,6.497963,40.837,4.200,34.988,1.304,0.508,1,16,0.454590,8861
151,ramp,6.498326,6.532934,34.608,10.891,1.769,1.311,20.830,1,16,0.699219,23452
152,ramp,6.533322,6.541535,8.213,6.438,0.980,0.714,0.367,1,16,0.880859,13594
153,ramp,6.541759,6.566031,24.272,3.492,0.451,0.328,20.090,1,16,0.603516,7329
154,ramp,6.566513,6.574019,7.506,5.890,0.894,0.652,0.377,1,16,0.375977,12514
155,ramp,6.624159,6.632030,7.871,55.926,0.935,0.672,0.404,1,16,0.671875,13020
156,ramp,6.632283,6.649800,17.517,4.360,0.630,11.674,1.034,1,16,0.892578,9195
157,ramp,6.701744,6.725832,24.088,59.729,1.311,0.933,13.988,1,16,0.724121,17457
158,ramp,6.789959,6.810072,20.113,71.680,1.268,0.907,10.244,1,16,0.453125,17006
159,ramp,6.810453,6.815814,5.361,4.295,0.581,0.415,0.368,1,16,0.989746,8803
160,ramp,6.816047,6.821245,5.198,4.053,0.566,0.397,0.346,1,16,0.784180,8558
161,ramp,6.851573,6.861068,9.496,37.360,1.149,0.820,0.425,1,16,0.595703,15639
162,ramp,6.861348,6.881776,20.428,3.589,0.451,0.329,16.253,1,16,0.644043,7455
163,ramp,6.882214,6.884414,2.200,1.833,0.173,0.163,0.368,1,16,0.744141,3331
164,ramp,6.884643,6.889192,4.549,3.525,0.462,0.331,0.389,1,16,0.648926,7413
165,ramp,6.889444,6.907163,17.719,5.183,8.359,1.013,3.320,1,16,0.581543,11002
166,ramp,6.907687,6.912152,4.465,3.634,0.451,0.329,0.434,1,16,0.910645,7333
167,ramp,6.932855,6.938452,5.597,24.746,0.626,0.459,0.392,1,16,0.667969,9172
168,ramp,6.963085,6.969706,6.621,29.479,0.735,0.559,0.408,1,16,0.867188,10843
169,ramp,6.969958,6.984330,14.372,0.792,0.104,13.075,0.575,1,16,0.758789,1373
170,ramp,7.161695,7.173254,11.559,185.005,1.283,0.936,1.565,1,16,0.698242,17232
171,ramp,7.173648,7.182804,9.156,4.563,0.639,0.471,3.713,1,16,0.745605,9399
172,ramp,7.183178,7.194312,11.133,6.090,0.924,0.667,3.691,1,16,1.155273,12842
173,ramp,7.194799,7.198656,3.858,3.171,0.352,0.269,0.384,1,16,0.700195,6329
174,ramp,7.198900,7.213035,14.135,5.972,0.922,0.659,6.732,1,16,0.701660,12741
175,ramp,7.213439,7.225391,11.952,5.415,0.763,0.588,5.454,1,16,1.008789,11350
176,ramp,7.225876,7.228389,2.514,2.161,0.193,0.183,0.349,1,16,1.033203,4044
177,ramp,7.228619,7.231141,2.522,1.961,0.186,0.177,0.359,1,16,0.866699,3968
178,ramp,7.231417,7.233625,2.208,1.665,0.171,0.162,0.420,1,16,0.466553,3218
179,ramp,7.233869,7.251518,17.650,1.939,0.163,14.819,0.902,1,16,0.540527,3881
180,ramp,7.287403,7.302450,15.047,41.639,0.930,0.675,7.536,1,16,0.583984,12928
181,ramp,7.302897,7.306605,3.709,3.095,0.343,0.257,0.346,1,16,0.707520,6167
182,ramp,7.306845,7.312247,5.402,4.210,0.596,0.420,0.349,1,16,0.751953,8872
183,ramp,7.312517,7.333863,21.346,1.954,0.193,0.175,19.162,1,16,0.732422,3913
184,ramp,7.334442,7.346083,11.641,5.578,0.777,0.592,5.181,1,16,0.604004,11386
185,ramp,7.346514,7.349541,3.027,2.588,0.194,0.209,0.376,1,16,0.822266,5080
186,ramp,7.433705,7.445807,12.102,93.212,1.528,1.093,0.361,1,16,0.645996,20277
187,ramp,7.446055,7.472341,26.286,6.073,0.943,0.668,18.670,1,16,0.746094,12966
188,ramp,7.472780,7.475052,2.272,1.883,0.157,0.169,0.384,1,16,0.727539,3573
189,ramp,7.475314,7.488578,13.263,6.745,1.057,0.753,4.834,1,16,0.892578,14400
190,ramp,7.488961,7.492225,3.265,2.703,0.233,0.223,0.349,1,16,0.601074,5472
191,ramp,7.572716,7.580521,7.805,86.256,0.944,0.669,0.358,1,16,0.444580,12983
192,ramp,7.580750,7.595781,15.030,4.652,0.660,9.324,0.555,1,16,0.527832,9874
193,ramp,7.788807,7.826135,37.328,204.587,1.963,1.445,22.257,1,16,0.875488,25697
194,ramp,7.826635,7.831647,5.012,4.085,0.554,0.407,0.367,1,16,0.629395,8647
195,ramp,7.831896,7.836810,4.915,3.852,0.531,0.374,0.340,1,16,1.006836,8082
196,ramp,7.837035,7.880040,43.005,8.756,1.427,1.007,31.905,1,16,0.667969,18890
197,ramp,7.880444,7.892909,12.464,6.010,0.915,0.657,5.171,1,16,0.826172,12718
198,ramp,7.893327,7.907509,14.182,8.430,1.353,0.962,3.718,1,16,0.402588,18001
199,ramp,7.907911,7.927689,19.778,9.761,1.565,1.133,7.579,1,16,0.882812,20825
