step_idx,phase,t_step_start_s,t_step_end_s,step_duration_ms,t_dataload_ms,t_forward_ms,samples_per_step,slide_id_in_step,world_size
29,steady,27.433678,28.322933,889.255,1.751,887.450,256,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,4
30,steady,28.334683,29.224589,889.906,1.763,888.088,256,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,4
31,steady,29.235684,30.125849,890.165,1.760,888.350,256,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,4
32,steady,30.137138,31.027810,890.672,1.759,888.855,256,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,4
33,steady,31.039093,31.930456,891.363,1.759,889.547,256,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,4
34,steady,31.941637,32.833061,891.424,1.757,889.609,256,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,4
35,steady,32.844915,33.737601,892.686,1.759,890.870,256,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,4
36,steady,33.748683,34.641369,892.686,1.752,890.880,256,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,4
37,steady,34.653413,35.546442,893.029,1.748,891.228,256,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,4
38,steady,35.557766,36.451757,893.991,1.759,892.176,256,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,4
39,steady,36.463007,37.355923,892.916,1.754,891.108,256,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,4
40,steady,37.367625,38.261084,893.459,1.753,891.654,256,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,4
41,steady,38.272270,39.166636,894.366,1.743,892.570,256,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,4
42,steady,39.177948,40.072067,894.119,1.762,892.299,256,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,4
43,steady,40.083099,40.978298,895.198,1.747,893.391,256,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,4
44,steady,40.989422,41.884617,895.195,1.754,893.385,256,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,4
45,steady,41.895738,42.791726,895.988,1.752,894.176,256,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,4
46,steady,42.802809,43.698690,895.882,1.759,894.061,256,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,4
47,steady,43.709983,44.607316,897.333,1.754,895.518,256,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,4
48,steady,44.619123,45.516244,897.121,1.765,895.291,256,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,4
49,steady,45.527367,46.425625,898.258,1.754,896.448,256,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,4
50,steady,46.438168,47.335283,897.115,1.765,895.289,256,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,4
51,steady,47.347578,48.246408,898.831,1.757,897.012,256,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,4
52,steady,48.257921,49.156754,898.834,1.763,897.011,256,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,4
53,steady,49.167780,50.067865,900.085,1.750,898.280,256,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,4
54,steady,50.079085,50.977901,898.816,1.758,896.997,256,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,4
55,steady,50.983658,51.472738,489.080,0.555,488.475,113,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,4
56,steady,52.561403,53.464685,903.282,1.796,901.392,256,TCGA-3C-AALK-01Z-00-DX1.4E6EB156-BB19-410F-878F-FC0EA7BD0B53,4
57,steady,53.476105,54.374953,898.847,1.765,897.004,256,TCGA-3C-AALK-01Z-00-DX1.4E6EB156-BB19-410F-878F-FC0EA7BD0B53,4
58,steady,54.386389,55.284826,898.436,1.765,896.597,256,TCGA-3C-AALK-01Z-00-DX1.4E6EB156-BB19-410F-878F-FC0EA7BD0B53,4
59,steady,55.296206,56.194970,898.764,1.768,896.921,256,TCGA-3C-AALK-01Z-00-DX1.4E6EB156-BB19-410F-878F-FC0EA7BD0B53,4
60,steady,56.206339,57.107014,900.676,1.766,898.838,256,TCGA-3C-AALK-01Z-00-DX1.4E6EB156-BB19-410F-878F-FC0EA7BD0B53,4
61,steady,57.118325,58.018489,900.163,1.764,898.330,256,TCGA-3C-AALK-01Z-00-DX1.4E6EB156-BB19-410F-878F-FC0EA7BD0B53,4
62,steady,58.030059,58.931606,901.547,1.756,899.721,256,TCGA-3C-AALK-01Z-00-DX1.4E6EB156-BB19-410F-878F-FC0EA7BD0B53,4
63,steady,58.942890,59.844907,902.017,1.752,900.200,256,TCGA-3C-AALK-01Z-00-DX1.4E6EB156-BB19-410F-878F-FC0EA7BD0B53,4
64,steady,59.856886,60.759698,902.812,1.770,900.976,256,TCGA-3C-AALK-01Z-00-DX1.4E6EB156-BB19-410F-878F-FC0EA7BD0B53,4
