step_idx,phase,t_step_start_s,t_step_end_s,step_duration_ms,t_dataload_ms,t_forward_ms,t_backward_ms,t_optimizer_ms,samples_per_step,num_workers,loss,n_tiles_in_step
64,ramp,3.797899,3.803672,5.773,4.515,0.614,0.457,0.477,1,16,0.923340,9373
65,ramp,3.804093,3.806668,2.575,2.142,0.165,0.182,0.400,1,16,0.428711,4027
66,ramp,3.872270,3.885873,13.602,75.647,1.664,1.241,0.576,1,16,1.035156,22297
67,ramp,3.886203,3.917993,31.790,3.442,26.339,1.632,0.623,1,16,0.503418,7023
68,ramp,3.918252,3.920818,2.566,1.990,0.175,0.186,0.396,1,16,0.440430,3996
69,ramp,4.010593,4.022810,12.217,98.736,1.499,1.078,0.596,1,16,0.503906,20007
70,ramp,4.023179,4.049274,26.094,6.028,0.915,18.515,0.908,1,16,0.393555,12709
71,ramp,4.049597,4.051805,2.208,0.994,0.109,0.784,0.562,1,16,0.494141,1691
72,ramp,4.144062,4.171410,27.349,102.800,1.738,1.286,13.692,1,16,0.531250,23415
73,ramp,4.171916,4.185284,13.369,6.147,0.921,0.650,5.984,1,16,0.342773,12719
74,ramp,4.185726,4.194172,8.446,6.029,0.925,0.654,1.161,1,16,0.508301,12780
75,ramp,4.194613,4.202076,7.462,5.826,0.881,0.623,0.436,1,16,0.306396,12395
76,ramp,4.202350,4.220667,18.317,4.285,0.606,0.435,13.122,1,16,1.201172,8985
77,ramp,4.221154,4.232339,11.185,4.001,0.520,0.372,6.593,1,16,0.260010,8155
78,ramp,4.232774,4.247224,14.450,2.280,7.804,0.959,3.737,1,16,0.874512,4444
79,ramp,4.247544,4.249715,2.171,1.125,0.122,0.669,0.490,1,16,1.088867,2230
80,ramp,4.250011,4.252341,2.330,1.773,0.182,0.170,0.432,1,16,1.001953,3422
81,ramp,4.252595,4.254639,2.044,0.963,0.111,0.713,0.445,1,16,0.393311,1730
82,ramp,4.319349,4.327773,8.424,70.789,0.999,0.718,0.554,1,16,0.423828,13781
83,ramp,4.391549,4.401121,9.571,70.794,1.156,0.837,0.471,1,16,0.853516,15748
84,ramp,4.480811,4.491644,10.833,87.663,1.306,0.935,0.534,1,16,1.199219,17766
85,ramp,4.578805,4.592803,13.998,96.442,1.553,1.139,1.901,1,16,0.385742,20646
86,ramp,4.593299,4.616002,22.703,7.063,1.086,0.774,14.039,1,16,0.299561,14788
87,ramp,4.616604,4.622101,5.497,4.466,0.609,0.445,0.450,1,16,0.357666,9123
88,ramp,4.622375,4.625349,2.975,2.349,0.196,0.210,0.417,1,16,0.567383,4738
89,ramp,4.625638,4.635753,10.115,7.781,1.221,0.893,0.436,1,16,0.667480,16620
90,ramp,4.636022,4.638261,2.239,1.449,0.158,0.329,0.501,1,16,0.588379,2779
91,ramp,4.680153,4.692962,12.809,51.318,1.599,1.169,0.539,1,16,0.317871,21095
92,ramp,4.693261,4.697961,4.701,3.617,0.460,0.334,0.502,1,16,0.530273,7492
93,ramp,4.965700,4.995915,30.216,279.467,1.985,1.438,14.882,1,16,0.295410,26031
94,ramp,4.996444,4.999138,2.694,2.111,0.190,0.266,0.515,1,16,0.511230,3925
