slide_id,n_tiles,elapsed_seconds,output_bytes,error
normal_017,361,0.746149,9390936,
normal_045,388,0.762882,6068784,
normal_016,590,1.184476,12436520,
normal_023,951,1.877800,26174240,
normal_004,1446,2.867183,30911432,
normal_013,1606,3.756633,35248768,
normal_014,2244,5.041091,59307064,
normal_048,2677,5.304548,69540000,
normal_058,5475,12.941144,168800704,
normal_072,7944,16.603590,185278360,
normal_050,9638,23.183269,262188304,
normal_082,9497,21.983958,225943784,
normal_103,11610,22.948597,173256640,
normal_053,12937,30.597436,354694112,
normal_080,16112,38.200593,377156928,
normal_116,10544,22.803754,173170384,
normal_113,17490,37.856480,299123128,
normal_112,20049,48.191460,464689448,
normal_127,21136,48.127281,364852600,
normal_121,23756,51.476688,335823224,
test_025,1940,3.782757,43061416,
normal_142,19529,42.454137,338959424,
normal_114,27795,67.125714,648774920,
normal_137,24537,54.659137,402699104,
test_057,3335,6.425383,85467720,
test_072,3382,6.365916,63200552,
test_036,6460,14.477542,154340816,
test_018,9790,20.562526,129912896,
test_059,7313,15.477645,205967000,
test_014,26522,52.074216,456819056,
normal_144,10386,59.565244,184619872,
test_130,6085,12.260994,140508320,
test_016,24486,54.466765,391520760,
test_122,8413,18.163486,174709160,
tumor_059,3325,6.252166,66796808,
tumor_014,10213,22.782713,265149264,
tumor_045,8534,16.185996,234892048,
tumor_022,8436,20.161995,191444976,
tumor_070,6281,12.721467,155329608,
test_101,22368,45.984975,374291688,
tumor_040,13020,30.462176,316715064,
tumor_021,14783,36.841502,388474096,
tumor_079,16616,32.216932,221014248,
tumor_015,23537,57.193906,653027624,
tumor_101,12176,23.892080,246394480,
tumor_072,20837,45.026932,399844616,
tumor_103,14517,31.023674,333354960,
tumor_086,26173,58.807957,450110848,
tumor_090,27997,60.299096,366879904,
tumor_092,36105,77.003726,463908592,
