slide_id,rank_handled,world_size,n_tiles,t_start_s,t_end_s,wallclock_s,tiles_per_sec_slide,embedding_dim
TCGA-E2-A150-01Z-00-DX1.55643D23-83E6-4058-8EA5-18AAA8547839,0,4,17012,0.126877,59.245319,59.118,287.8,1536
TCGA-E2-A152-01Z-00-DX1.B0860DEB-D34B-4C5D-97F5-C1C646437424,1,4,20708,0.152007,76.824235,76.672,270.1,1536
TCGA-E2-A153-01Z-00-DX1.CA994467-E541-4131-A9FC-DCD9944F29C4,2,4,9107,0.074935,32.496285,32.421,280.9,1536
TCGA-E2-A154-01Z-00-DX1.01FC9B1A-8ECD-4467-9EDD-0B02E4AEEF72,3,4,12588,0.091253,43.786372,43.695,288.1,1536
TCGA-E2-A155-01Z-00-DX1.A5AF232A-61BB-4FDC-ABF9-2FE9BA461BDC,0,4,14281,59.473411,109.745418,50.272,284.1,1536
TCGA-E2-A156-01Z-00-DX1.CEF32B4D-A676-4230-992D-45A046E4043A,1,4,11385,77.068358,119.853361,42.785,266.1,1536
TCGA-E2-A158-01Z-00-DX1.994C60FE-E651-4224-95E7-4669834F2338,2,4,4627,32.605535,49.078346,16.473,280.9,1536
TCGA-E2-A159-01Z-00-DX1.C8DC3356-CAE9-4E7A-AEFF-ABB4BE38192B,3,4,13558,43.978065,91.219815,47.242,287.0,1536
TCGA-E2-A15A-01Z-00-DX1.B9D22735-FE9F-46D9-84E6-0C71A1BF84D6,0,4,20549,109.975959,182.812115,72.836,282.1,1536
TCGA-E2-A15C-01Z-00-DX1.26E13415-1D37-43C7-9EBB-4411BE7FCE10,1,4,14939,120.041308,176.043153,56.002,266.8,1536
TCGA-E2-A15D-01Z-00-DX1.AA5AF847-3635-4BAF-AAC3-BADB4A1B2CB1,2,4,10599,49.188032,87.070219,37.882,279.8,1536
TCGA-E2-A15E-06Z-00-DX1.D394A007-91A2-4445-9B4A-1629EE684A51,3,4,16165,91.411189,148.364701,56.954,283.8,1536
TCGA-E2-A15F-01Z-00-DX1.F022214A-3F0C-4DA4-A0EE-735D27480A45,0,4,6131,183.027343,204.598405,21.571,284.2,1536
TCGA-E2-A15G-01Z-00-DX1.BAA5235E-1022-463B-A852-586ED7CA75FF,1,4,13858,176.244696,226.223870,49.979,277.3,1536
TCGA-E2-A15H-01Z-00-DX1.E3A9DFDC-204D-4F03-98D9-97BBBB74E840,2,4,11621,87.221960,128.942730,41.721,278.5,1536
TCGA-E2-A15I-01Z-00-DX1.DFF60A40-B03D-438F-A233-06132A213619,3,4,5012,148.538428,166.273026,17.735,282.6,1536
TCGA-E2-A15J-01Z-00-DX1.BF7901D1-30B1-4A76-B0A5-E9B8B36EF4C9,0,4,15013,204.724645,258.091404,53.367,281.3,1536
TCGA-E2-A15K-01Z-00-DX1.9F424BE2-9BFE-4DFF-8CC9-10D2DADBBEA7,1,4,5719,226.373913,247.504030,21.130,270.7,1536
TCGA-E2-A15L-01Z-00-DX1.626032DC-D396-48E7-B888-DFEBCF7102FF,2,4,15019,129.117423,183.489281,54.372,276.2,1536
TCGA-E2-A15M-01Z-00-DX1.6E4671E5-18EA-4464-BE7C-C94767136E5C,3,4,6296,166.362606,188.426405,22.064,285.4,1536
TCGA-E2-A15O-01Z-00-DX1.4D0F3975-93EA-4DC2-AD0C-A76A24C3AE0C,0,4,8366,258.258598,288.635434,30.377,275.4,1536
TCGA-E2-A15P-01Z-00-DX1.4C7F95DC-B319-4A78-8F34-8CB9166EA6A8,1,4,8628,247.605195,280.490294,32.885,262.4,1536
TCGA-E2-A15R-01Z-00-DX1.B58D2D9D-05EE-4D66-8DC0-9E5C6AD2E3D3,2,4,11863,183.668083,225.865445,42.197,281.1,1536
TCGA-E2-A15S-01Z-00-DX1.77CFA95F-F1AE-41BD-BAF8-BCA6F0DFA3A3,3,4,14522,188.544692,239.548321,51.004,284.7,1536
TCGA-E2-A15T-01Z-00-DX1.23913E37-53A8-4E11-9B64-CDD016F6D87A,0,4,19549,288.798941,358.561440,69.762,280.2,1536
TCGA-E2-A1AZ-01Z-00-DX1.FE769F5F-385B-4DCF-819A-735C98D84FA8,1,4,18548,280.657523,349.348213,68.691,270.0,1536
TCGA-E2-A1B0-01Z-00-DX1.4C50EC91-A62A-450E-88C0-7DCAB8E9724C,2,4,13031,226.028682,273.861322,47.833,272.4,1536
TCGA-E2-A1B1-01Z-00-DX1.7C8DF153-B09B-44C7-87B8-14591E319354,3,4,4475,239.692135,255.693154,16.001,279.7,1536
TCGA-E2-A1B4-01Z-00-DX1.E585C4FB-0D3E-4160-8192-53A329648F5C,0,4,9691,358.773766,394.022540,35.249,274.9,1536
TCGA-E2-A1B5-01Z-00-DX1.AB19FF3D-5C42-4D49-ABEA-D2315709B6EA,1,4,12780,349.564556,398.058458,48.494,263.5,1536
TCGA-E2-A1B6-01Z-00-DX1.8CD458BE-C4F9-4AF3-A927-18C042E9B4B7,2,4,9478,274.015279,308.515964,34.501,274.7,1536
TCGA-E2-A1BC-01Z-00-DX1.FD19F2F8-497F-4D7D-97C6-271DC6B75173,3,4,14942,255.810548,309.222816,53.412,279.7,1536
TCGA-E2-A1BD-01Z-00-DX1.A2AFF7AD-ED47-43E4-87FE-62882BAEB8DA,0,4,12624,394.174506,439.337320,45.163,279.5,1536
TCGA-E2-A1IE-01Z-00-DX1.D6BF29A7-4FBD-4F7D-B093-991FA0F49FE8,1,4,6981,398.208319,423.990641,25.782,270.8,1536
TCGA-E2-A1IF-01Z-00-DX1.51F5B0AC-E4D6-439D-8168-34934471FA06,2,4,16013,308.671583,366.924344,58.253,274.9,1536
TCGA-E2-A1IG-01Z-00-DX1.C894EEA1-708A-4043-8C60-3BCA98AA751E,3,4,19647,309.425657,379.649939,70.224,279.8,1536
TCGA-E2-A1IH-01Z-00-DX1.816F0C54-D87E-4E23-891B-98169F5B439B,0,4,2230,439.459211,447.590453,8.131,274.3,1536
TCGA-E2-A1II-01Z-00-DX1.7F782477-0F92-4C57-8735-A1E3F95A6B94,1,4,5819,424.082754,445.870034,21.787,267.1,1536
