slide_id,rank_handled,world_size,n_tiles,t_start_s,t_end_s,wallclock_s,tiles_per_sec_slide,embedding_dim
TCGA-BH-A209-01Z-00-DX1.88B11AEB-11FA-4D23-BC21-378EF177E04B,0,4,25363,0.173821,89.020898,88.847,285.5,1536
TCGA-BH-A28O-01Z-00-DX1.B37603E3-BC80-4DDA-B44D-B5F794E3398E,1,4,17129,0.123648,60.301511,60.178,284.6,1536
TCGA-BH-A28Q-01Z-00-DX1.C6D1CA93-6B2A-4722-9270-5D56592D833D,2,4,23090,0.164189,81.698914,81.535,283.2,1536
TCGA-BH-A2L8-01Z-00-DX1.ACA51CA9-3C38-48A6-B4A9-C12FFAB9AB56,3,4,24132,0.169754,83.530804,83.361,289.5,1536
TCGA-BH-A42T-01Z-00-DX1.6E4609B9-BE7E-4CA9-A1C0-A77A7DEFBB2B,0,4,12736,89.295371,134.755952,45.461,280.2,1536
TCGA-BH-A42U-01Z-00-DX1.130D060A-3DD8-407E-B8B0-EBBF743491AE,1,4,19653,60.555281,131.017847,70.463,278.9,1536
TCGA-BH-A42V-01Z-00-DX1.B6D78256-05D1-45FA-826A-1B8554D60B7D,2,4,4583,81.909590,98.418518,16.509,277.6,1536
TCGA-BH-A5IZ-01Z-00-DX1.6C871030-82E1-463E-A67B-976A5F3DCDB2,3,4,16723,83.830101,142.766617,58.937,283.7,1536
TCGA-BH-A5J0-01Z-00-DX1.73CFBC85-8449-48FF-86F8-D4D49A90498B,0,4,14605,134.941618,186.999399,52.058,280.6,1536
TCGA-C8-A12K-01Z-00-DX1.D71C7974-65F7-4EF0-8FFB-9F27CEC85242,1,4,10216,131.225993,168.976967,37.751,270.6,1536
TCGA-C8-A12L-01Z-00-DX1.01863BE4-F4AB-45DE-894A-46544777C519,2,4,11889,98.539981,141.567884,43.028,276.3,1536
TCGA-C8-A12M-01Z-00-DX1.0C5F2DED-873F-4C86-97A2-2AA76A6236DF,3,4,9561,142.966270,176.596511,33.630,284.3,1536
TCGA-C8-A12N-01Z-00-DX1.8E50110E-A6C0-496F-B44E-7190096C113E,0,4,7280,187.166935,212.908199,25.741,282.8,1536
TCGA-C8-A12O-01Z-00-DX1.A77E552B-7B69-45B7-B341-A03571F2A06C,1,4,7514,169.101545,195.814434,26.713,281.3,1536
TCGA-C8-A12P-01Z-00-DX1.670B5DE8-07B0-4E4C-93FA-FA3DFFCCE50D,2,4,6436,141.695196,164.936415,23.241,276.9,1536
TCGA-C8-A12Q-01Z-00-DX1.CE74E5B7-FD30-4CBE-8716-ECCF2213AAC3,3,4,10666,176.740424,214.000937,37.261,286.3,1536
TCGA-C8-A12T-01Z-00-DX1.EF628C26-C570-4D15-A0C0-58B2CC40ABFC,0,4,12701,213.035382,257.931267,44.896,282.9,1536
TCGA-C8-A12U-01Z-00-DX1.8E90FC9F-630E-4611-A5D2-D6F11DBE81EF,1,4,17457,195.958557,258.349974,62.391,279.8,1536
TCGA-C8-A12V-01Z-00-DX1.84B29360-B87B-4648-A697-B6610336C2BB,2,4,15426,165.056843,220.037688,54.981,280.6,1536
TCGA-C8-A12W-01Z-00-DX1.3727E7BB-831E-42DB-B5CB-F2D7C649290F,3,4,10397,214.143785,250.574295,36.431,285.4,1536
TCGA-C8-A12X-01Z-00-DX1.2967579D-40AE-4425-BE81-5109713C16B4,0,4,8621,258.076854,289.027266,30.950,278.5,1536
TCGA-C8-A12Y-01Z-00-DX1.A15CB3E2-E145-4C75-8FEA-1DD503CD7C20,1,4,10151,258.541297,296.619067,38.078,266.6,1536
TCGA-C8-A12Z-01Z-00-DX1.22616420-7C80-42DE-9C44-0F00327681C6,2,4,11845,220.215406,262.582420,42.367,279.6,1536
TCGA-C8-A130-01Z-00-DX1.F6810204-C35A-4461-A18A-0A117739B988,3,4,8172,250.701316,279.724184,29.023,281.6,1536
TCGA-C8-A131-01Z-00-DX1.5CB27A29-9951-40B9-B4DB-26A4D2EA89B8,0,4,8861,289.142031,321.288216,32.146,275.6,1536
TCGA-C8-A132-01Z-00-DX1.6CCE1FE0-BB4B-4046-BAF0-43AA110B2EBE,1,4,5453,296.739542,317.397218,20.658,264.0,1536
TCGA-C8-A133-01Z-00-DX1.AFEE2057-2793-49E4-A477-E0DE3F6C67F9,2,4,10577,262.731351,301.515761,38.784,272.7,1536
TCGA-C8-A134-01Z-00-DX1.78D10BCC-98B3-4587-897D-3E27DA28D2EB,3,4,7117,279.829288,305.651892,25.823,275.6,1536
TCGA-C8-A135-01Z-00-DX1.B69A605E-B577-4F43-9471-2C95312B05D9,0,4,13974,321.424324,372.001317,50.577,276.3,1536
TCGA-C8-A137-01Z-00-DX1.87F3775D-A401-4D5E-843F-8FB1D4BE97F8,1,4,8430,317.484795,349.215678,31.731,265.7,1536
TCGA-C8-A138-01Z-00-DX1.845A0680-23A4-4A58-A9C4-2EE17BDBD371,2,4,9848,301.654503,337.635655,35.981,273.7,1536
TCGA-C8-A1HE-01Z-00-DX1.83A5D816-E3A6-46B8-B1B8-B31486EB686E,3,4,7596,305.750689,332.984242,27.234,278.9,1536
TCGA-C8-A1HF-01Z-00-DX1.81EF9A57-54E1-4750-9816-5571FD18A297,0,4,14700,372.181121,425.007347,52.826,278.3,1536
TCGA-C8-A1HG-01Z-00-DX1.F2AB6D0F-4D6B-491F-915B-92E838E79D67,1,4,16850,349.354162,412.522701,63.169,266.7,1536
TCGA-C8-A1HI-01Z-00-DX1.C6D0F8B8-55ED-477F-BAF7-AA05D0449CC8,2,4,9937,337.765448,374.327969,36.563,271.8,1536
TCGA-C8-A1HJ-01Z-00-DX1.745159F1-85E7-4CC0-B088-E1CA91916FB8,3,4,10132,333.093720,369.583266,36.490,277.7,1536
TCGA-C8-A1HK-01Z-00-DX1.A15F452B-1260-4106-86D1-05F00082F0CE,0,4,9874,425.177932,461.411420,36.233,272.5,1536
TCGA-C8-A1HL-01Z-00-DX1.CC21CAE9-DE48-4ADE-A959-5A99010AAFAC,1,4,10825,412.703927,453.703577,41.000,264.0,1536
TCGA-C8-A1HM-01Z-00-DX1.F93C3F56-3AA6-4D38-B51E-4694CBEA3830,2,4,6087,374.440431,396.692237,22.252,273.6,1536
TCGA-C8-A1HN-01Z-00-DX1.7EBBEAB1-EBB7-456F-8848-AFE2263242B7,3,4,7768,369.710466,397.502941,27.792,279.5,1536
TCGA-C8-A1HO-01Z-00-DX1.0C702CEE-C373-4D00-A706-32206D41AC17,0,4,8790,461.538347,493.134137,31.596,278.2,1536
TCGA-C8-A26V-01Z-00-DX1.6E86DF74-D575-4969-8142-963D9DF5208F,1,4,9195,453.845969,488.551411,34.705,264.9,1536
TCGA-C8-A26W-01Z-00-DX1.CFF07941-6CD1-4CF9-BE5F-387DA67B66CC,2,4,14442,396.795402,449.791558,52.996,272.5,1536
TCGA-C8-A26X-01Z-00-DX1.FBD86F91-BAD7-4484-8D50-202340FBF242,3,4,4643,397.594510,414.138140,16.544,280.7,1536
TCGA-C8-A26Y-01Z-00-DX1.166EE604-4EF3-401D-99E9-3A9711316CC4,0,4,6372,493.241121,516.231888,22.991,277.2,1536
TCGA-C8-A26Z-01Z-00-DX1.1A15D951-F3BD-4024-91DD-E7633C09A837,1,4,14031,488.686883,541.637921,52.951,265.0,1536
TCGA-C8-A273-01Z-00-DX1.6E5D581F-DF80-478D-82D1-6D6525EED1B5,2,4,8492,449.955197,481.205183,31.250,271.7,1536
TCGA-C8-A274-01Z-00-DX1.B667DAB1-C944-4285-A312-5E4DDAE0EE78,3,4,11232,414.221588,454.940333,40.719,275.8,1536
TCGA-C8-A275-01Z-00-DX1.44D27E67-4DD6-4893-B38A-01E48F5A358A,0,4,12354,516.347249,561.832645,45.485,271.6,1536
TCGA-C8-A278-01Z-00-DX1.188B3FE0-7B20-401A-A6B7-8F1798018162,1,4,6826,541.785915,567.889048,26.103,261.5,1536
TCGA-C8-A27A-01Z-00-DX1.0E26C46D-CD65-40F3-8976-EB4415582934,2,4,8155,481.326303,511.099163,29.773,273.9,1536
TCGA-C8-A27B-01Z-00-DX1.5A8A14E8-6430-4147-9C71-805024E098CB,3,4,10658,455.078231,493.363688,38.285,278.4,1536
TCGA-C8-A3M7-01Z-00-DX1.846C75F1-2E7E-44F7-B21F-C246141558FA,0,4,17951,562.024162,626.441284,64.417,278.7,1536
TCGA-C8-A3M8-01Z-00-DX1.97AC85E0-6281-4F2E-8034-24AD5F52D5A6,1,4,7737,567.987261,596.753173,28.766,269.0,1536
TCGA-C8-A8HP-01Z-00-DX1.B6EE8271-2E51-4184-9B0C-2ADA69B4A714,2,4,6970,511.206553,537.000108,25.794,270.2,1536
TCGA-C8-A8HQ-01Z-00-DX1.A08190B5-F17E-4057-9DBD-B2F34CAEAFDC,3,4,10155,493.502932,529.964505,36.462,278.5,1536
TCGA-C8-A8HR-01Z-00-DX1.8E841CA8-1CE2-4242-AC5A-3247075CF8F4,0,4,5410,626.632719,646.459116,19.826,272.9,1536
TCGA-C8-A9FZ-01Z-00-DX1.FA6B5909-3024-44B9-9CC5-71F8AB133A45,1,4,22013,596.925373,679.807370,82.882,265.6,1536
TCGA-D8-A13Y-01Z-00-DX1.02321E77-A11E-41A5-95FE-BB897EA5CE58,2,4,13532,537.133526,587.171889,50.038,270.4,1536
TCGA-D8-A13Y-01Z-00-DX2.0043D2BB-B04D-4A44-AAB1-1CAAD97AC246,3,4,10525,530.104112,568.401487,38.297,274.8,1536
TCGA-D8-A13Z-01Z-00-DX1.517140BB-D34C-42F8-952C-340EF16D382F,0,4,14788,646.581850,700.100489,53.519,276.3,1536
TCGA-D8-A140-01Z-00-DX1.5B9382C0-332C-4FBF-82CD-B9453D02B815,1,4,3675,680.023686,693.786696,13.763,267.0,1536
TCGA-D8-A140-01Z-00-DX2.0C0A62BB-1FB8-47D8-8FAF-112D221F18BE,2,4,4027,587.319966,602.076487,14.757,272.9,1536
TCGA-D8-A141-01Z-00-DX1.10F6EEB2-C920-43FF-B5A7-B5A651CBDBE3,3,4,6465,568.524654,591.631851,23.107,279.8,1536
TCGA-D8-A141-01Z-00-DX2.DBD0D81E-28FC-4466-BDE3-94753BD6CBEB,0,4,8348,700.262706,730.553947,30.291,275.6,1536
TCGA-D8-A142-01Z-00-DX1.F6D58989-9120-40C9-918D-6B1650C1A8E8,1,4,13144,693.888513,743.455172,49.567,265.2,1536
TCGA-D8-A143-01Z-00-DX1.4697FB2F-91D5-4506-AF23-7DE304D44A3F,2,4,12966,602.167101,649.957467,47.790,271.3,1536
TCGA-D8-A145-01Z-00-DX1.34D4EC27-7FD7-4BE2-95A4-CA521CB5590E,3,4,12842,591.750486,637.709917,45.959,279.4,1536
TCGA-D8-A145-01Z-00-DX2.B834BF47-1CD6-45EA-BB88-D8ECE1FDDC6A,0,4,4213,730.655187,746.225048,15.570,270.6,1536
TCGA-D8-A146-01Z-00-DX1.D93FB315-E5D7-49BA-8380-38B16B70361B,1,4,6564,743.595025,768.696623,25.102,261.5,1536
TCGA-D8-A147-01Z-00-DX1.159094F2-BB78-4910-B7AE-3D7CAAB1DAD9,2,4,15034,650.129478,705.097832,54.968,273.5,1536
TCGA-D8-A1J8-01Z-00-DX1.EADAB43A-87C6-47FA-9120-25B69E23366D,3,4,14885,637.891621,691.492343,53.601,277.7,1536
TCGA-D8-A1J8-01Z-00-DX2.5DCB3447-548D-442C-86B1-CEF79B8689DF,0,4,21212,746.363460,823.485767,77.122,275.0,1536
TCGA-D8-A1J9-01Z-00-DX1.F81FA9EF-8129-4E17-A9AD-2B850782CC18,1,4,26031,768.867836,864.615195,95.747,271.9,1536
TCGA-D8-A1J9-01Z-00-DX2.E1C59487-9563-4501-845F-2067A0C5C59B,2,4,8329,705.263486,735.999995,30.737,271.0,1536
TCGA-D8-A1JA-01Z-00-DX1.BD43F94A-D5A8-490E-AED4-5F3AB24080FA,3,4,18323,691.712371,757.784065,66.072,277.3,1536
TCGA-D8-A1JB-01Z-00-DX1.6CF48257-066C-4B8C-91AA-30A6B4AD4307,0,4,14248,823.724182,874.153773,50.430,282.5,1536
TCGA-D8-A1JC-01Z-00-DX1.16D32FE8-4D76-4EEC-9739-D394087605BC,1,4,3665,864.854280,878.133044,13.279,276.0,1536
TCGA-D8-A1JC-01Z-00-DX2.854ABF5D-40F1-48AE-802F-97D75497F1FD,2,4,12980,736.133349,784.400150,48.267,268.9,1536
TCGA-D8-A1JD-01Z-00-DX1.6D215B14-DD90-4635-8645-AF06EBD9BA3F,3,4,14554,758.002930,810.792763,52.790,275.7,1536
TCGA-D8-A1JD-01Z-00-DX2.C6A7667E-25C9-48BD-A4E7-F4BB740FE589,0,4,11467,874.330717,915.452149,41.121,278.9,1536
TCGA-D8-A1JE-01Z-00-DX1.714805A1-E337-46DA-88D9-6CE4B4E3C2D0,1,4,20228,878.263165,953.972476,75.709,267.2,1536
TCGA-D8-A1JE-01Z-00-DX2.CCF3DFEF-E851-425A-BCD0-0F7B377A00BC,2,4,7329,784.550127,811.573806,27.024,271.2,1536
TCGA-D8-A1JF-01Z-00-DX1.224EDA43-F822-4A88-814A-BA7D4C60F8CC,3,4,20007,811.012199,881.273622,70.261,284.8,1536
TCGA-D8-A1JG-01Z-00-DX1.BA6D5CC7-3A9B-4D17-A86A-B159D345A216,0,4,19489,915.638769,985.877360,70.239,277.5,1536
TCGA-D8-A1JH-01Z-00-DX1.4A4F2502-612C-421D-9F64-444BF2C85620,1,4,18358,954.211881,1022.437222,68.225,269.1,1536
TCGA-D8-A1JI-01Z-00-DX1.9BDB647F-EEAB-4235-BE44-A3815A48CCE0,2,4,9371,811.695035,845.475197,33.780,277.4,1536
TCGA-D8-A1JI-01Z-00-DX2.E688E270-26C9-43EC-BC26-86BF8B74A31D,3,4,8616,881.483709,912.174595,30.691,280.7,1536
TCGA-D8-A1JJ-01Z-00-DX1.a986b48f-b295-4d7a-b778-ce829cdf9c38,0,4,12471,986.094816,1031.539925,45.445,274.4,1536
TCGA-D8-A1JJ-01Z-00-DX2.7D20F308-7DC6-4367-9459-3AC4C654E7F7,1,4,14910,1022.656197,1078.974347,56.318,264.7,1536
TCGA-D8-A1JK-01Z-00-DX1.3190C919-A403-460D-9F6C-D2AB5FD3FD05,2,4,21095,845.658949,922.113802,76.455,275.9,1536
TCGA-D8-A1JL-01Z-00-DX1.FE3F0C6B-F98A-4036-BF9A-25A8CC66B1FD,3,4,25697,912.377336,1004.498706,92.121,278.9,1536
TCGA-D8-A1JM-01Z-00-DX1.3CD15BC8-08B3-4BEE-9FD7-A8BEED33268E,0,4,11874,1031.705325,1074.792653,43.087,275.6,1536
TCGA-D8-A1JN-01Z-00-DX1.3B02989C-CEA0-4EDD-A6DC-21C3A957C640,1,4,20664,1079.189639,1157.586769,78.397,263.6,1536
TCGA-D8-A1JP-01Z-00-DX1.B02959C4-6AAD-4ACA-9838-61D224D838E4,2,4,10036,922.344687,959.257569,36.913,271.9,1536
TCGA-D8-A1JS-01Z-00-DX1.76C592B0-DC6D-401A-9533-C9FE5B6CA08D,3,4,12786,1004.773631,1051.188743,46.415,275.5,1536
TCGA-D8-A1JT-01Z-00-DX1.F278C419-E405-4BDA-BA50-BFBA08801168,0,4,12461,1074.957060,1120.311425,45.354,274.7,1536
TCGA-D8-A1JT-01Z-00-DX2.8DB9BB5B-17F3-4D80-835D-872BA275FD3B,1,4,7466,1157.797456,1185.833405,28.036,266.3,1536
TCGA-D8-A1JU-01Z-00-DX1.355D93B4-E69E-417C-B3D1-3E1AAF1E02FE,2,4,8655,959.399421,990.880387,31.481,274.9,1536
TCGA-D8-A1X5-01Z-00-DX1.81B10B43-0D99-44D0-A245-D652041B8FEE,3,4,12757,1051.362782,1097.303738,45.941,277.7,1536
TCGA-D8-A1X5-01Z-00-DX2.E4D28EE2-9C87-4613-BD2E-89FBEF960DEE,0,4,22123,1120.524148,1200.938319,80.414,275.1,1536
TCGA-D8-A1X6-01Z-00-DX1.ABF237D4-708C-46A5-AEF8-58712E5DCC04,1,4,15667,1185.975709,1245.767049,59.791,262.0,1536
TCGA-D8-A1X6-01Z-00-DX2.F36D68F2-70C3-4E0E-ABE6-6969170BA6DC,2,4,13822,991.025621,1042.268487,51.243,269.7,1536
TCGA-D8-A1X7-01Z-00-DX1.3529AEED-2827-4D94-9A8B-32F116EE49D5,3,4,8856,1097.459100,1129.695468,32.236,274.7,1536
TCGA-D8-A1X7-01Z-00-DX2.F0631B8C-EB75-4995-8ED7-1A8972BE8997,0,4,14478,1201.188920,1254.157256,52.968,273.3,1536
TCGA-D8-A1X8-01Z-00-DX1.DDA3866E-C7CC-4650-BE2B-5C9A98A2D531,1,4,10892,1245.946069,1287.290559,41.344,263.4,1536
TCGA-D8-A1X9-01Z-00-DX1.28CE7849-EEC5-4ABB-A319-A977A1FD3CD1,2,4,12643,1042.450617,1088.696126,46.246,273.4,1536
TCGA-D8-A1XA-01Z-00-DX1.36A807F0-2D35-4CE3-8A27-CC59181B1A3D,3,4,2056,1129.789991,1137.284988,7.495,274.3,1536
TCGA-D8-A1XB-01Z-00-DX1.DA8E2FA4-DBBA-4157-8052-B90FB3BB58F1,0,4,15520,1254.358244,1310.747859,56.390,275.2,1536
TCGA-D8-A1XB-01Z-00-DX2.B262C269-F22B-4306-8195-079C0874EF8E,1,4,14155,1287.448262,1340.504106,53.056,266.8,1536
TCGA-D8-A1XC-01Z-00-DX1.E7494388-838B-4D35-9CA1-77017CBE77F2,2,4,14911,1088.882586,1144.268297,55.386,269.2,1536
TCGA-D8-A1XC-01Z-00-DX2.10BA8536-D6AF-460E-9796-EB77FFE3EF5B,3,4,17061,1137.374974,1198.760917,61.386,277.9,1536
TCGA-D8-A1XD-01Z-00-DX1.E500D561-1F49-4F08-99AE-E8345F21B406,0,4,14696,1310.947267,1364.209215,53.262,275.9,1536
TCGA-D8-A1XF-01Z-00-DX1.8B9AB4A1-DEC5-4587-B022-3077CCD220F9,1,4,10856,1340.668481,1381.598158,40.930,265.2,1536
TCGA-D8-A1XF-01Z-00-DX2.1460E522-5B87-4690-8B6B-3183C5D282D6,2,4,15671,1144.474259,1201.895763,57.422,272.9,1536
TCGA-D8-A1XG-01Z-00-DX1.0A58EF43-B97E-4111-8DC3-2F8D9BDBE7D6,3,4,11521,1198.962651,1240.769146,41.806,275.6,1536
TCGA-D8-A1XJ-01Z-00-DX1.660DDF8D-6816-4EBE-AF37-6F7A374F4E9E,0,4,12470,1364.392517,1408.935340,44.543,280.0,1536
TCGA-D8-A1XK-01Z-00-DX1.41EB1BBC-F230-4E3F-8C4E-CE331CAF1935,1,4,13127,1381.749784,1429.212312,47.463,276.6,1536
TCGA-D8-A1XL-01Z-00-DX1.FDF07020-8F40-4C00-9023-E5F40E0D8A7C,2,4,8848,1202.071209,1234.767868,32.697,270.6,1536
TCGA-D8-A1XL-01Z-00-DX2.FDE2C80D-5DC4-4743-A180-C5AFC5BB0BE2,3,4,15745,1240.948390,1297.897809,56.949,276.5,1536
TCGA-D8-A1XM-01Z-00-DX1.5F6A140E-5D20-45F6-B76F-0F98AB27AD08,0,4,5644,1409.075302,1429.076466,20.001,282.2,1536
TCGA-D8-A1XO-01Z-00-DX1.A9EF6AFF-62B0-4E2D-ABC7-DC06FF473890,1,4,10467,1429.373041,1468.136550,38.764,270.0,1536
TCGA-D8-A1XQ-01Z-00-DX1.1A17A5C7-F14B-4AD2-AD5F-D3400D86A366,2,4,9225,1234.901588,1268.978345,34.077,270.7,1536
TCGA-D8-A1XR-01Z-00-DX1.7F443346-C564-47B6-9736-6944230CAF46,3,4,31991,1298.215023,1412.694455,114.479,279.4,1536
TCGA-D8-A1XR-01Z-00-DX2.A103FB8B-4397-4DD4-8587-90A736407484,0,4,12433,1429.185598,1473.689379,44.504,279.4,1536
TCGA-D8-A1XS-01Z-00-DX1.E5C78E5A-947C-499D-9E95-619FEEC63E69,1,4,14798,1468.291241,1524.381030,56.090,263.8,1536
TCGA-D8-A1XS-01Z-00-DX2.ED8BBDB4-CEA6-4E47-8214-4666F3CC6E44,2,4,13758,1269.123114,1319.627632,50.505,272.4,1536
TCGA-D8-A1XT-01Z-00-DX1.9E4DEEEB-AB0A-45F6-A69B-65B3E6F22D46,3,4,15831,1413.041483,1469.296656,56.255,281.4,1536
TCGA-D8-A1XU-01Z-00-DX1.769DBC38-6F0D-425B-A904-79EBA1C119EF,0,4,8738,1473.837073,1505.935134,32.098,272.2,1536
TCGA-D8-A1XV-01Z-00-DX1.D0D78B02-2A0D-4107-8083-D2FE1D3F1207,1,4,12519,1524.564226,1572.071297,47.507,263.5,1536
TCGA-D8-A1XV-01Z-00-DX2.D1988E01-5FDC-4F50-8183-F0CCE74D0CB2,2,4,11410,1319.803750,1361.832072,42.028,271.5,1536
TCGA-D8-A1XW-01Z-00-DX1.10187A1F-086B-4CD9-AC01-ADA2E435CD34,3,4,14611,1469.502488,1522.328288,52.826,276.6,1536
TCGA-D8-A1XW-01Z-00-DX2.9849E503-BE3E-417C-ABE8-93A39583DDE0,0,4,17863,1506.088655,1570.915284,64.827,275.6,1536
TCGA-D8-A1XY-01Z-00-DX1.AC051FB4-1D51-449B-BF2D-9DDB4382414C,1,4,12688,1572.238854,1620.721958,48.483,261.7,1536
TCGA-D8-A1XY-01Z-00-DX2.33D96E5C-5291-4864-B282-8BACA2043586,2,4,11690,1361.992374,1404.385441,42.393,275.8,1536
TCGA-D8-A1XZ-01Z-00-DX1.8E51A61D-B01C-4A52-8F5D-44D2ABCA46FC,3,4,10477,1522.506201,1560.295096,37.789,277.3,1536
TCGA-D8-A1XZ-01Z-00-DX2.73D59546-C003-4DED-80D5-866E7055EC79,0,4,8705,1571.105223,1603.231264,32.126,271.0,1536
TCGA-D8-A1Y0-01Z-00-DX1.10F40197-4174-43CC-AAD3-8CB85154FB2D,1,4,6329,1620.860230,1644.499904,23.640,267.7,1536
TCGA-D8-A1Y0-01Z-00-DX2.7C25E941-12A6-46CE-B1A5-488D08E35684,2,4,6531,1404.521989,1428.150830,23.629,276.4,1536
TCGA-D8-A1Y1-01Z-00-DX1.477390C8-2141-4ADD-813E-25220D2A71FC,3,4,22605,1560.470813,1642.409191,81.938,275.9,1536
TCGA-D8-A1Y1-01Z-00-DX2.B58DC955-F864-4E78-8B1A-8156E2F7D554,0,4,11386,1603.359652,1644.468042,41.108,277.0,1536
TCGA-D8-A1Y2-01Z-00-DX1.77451A0F-00FD-44A9-A0D0-CB7A39CE74CC,1,4,11595,1644.615476,1687.754099,43.139,268.8,1536
TCGA-D8-A1Y2-01Z-00-DX2.A563ABFE-18DE-4D78-BB66-9CD18D3CBE3A,2,4,9770,1428.260357,1463.621624,35.361,276.3,1536
TCGA-D8-A1Y3-01Z-00-DX1.8AA5F695-A06C-4DEA-AD71-16254A48B218,3,4,11294,1642.645675,1682.977727,40.332,280.0,1536
TCGA-D8-A1Y3-01Z-00-DX2.B9BD14AF-52A6-4241-B3B3-03F8F5DFC8DA,0,4,21923,1644.672407,1724.267384,79.595,275.4,1536
TCGA-D8-A27E-01Z-00-DX1.7950998F-7E23-4C70-A926-1ADAA5A20BED,1,4,4807,1687.879088,1706.340763,18.462,260.4,1536
TCGA-D8-A27F-01Z-00-DX1.C1A87F27-49F1-46BA-B2E2-A89293F7FD0C,2,4,15178,1463.769727,1519.799881,56.030,270.9,1536
TCGA-D8-A27G-01Z-00-DX1.04FCF306-67AA-4F56-AE90-44A4F5DD56D4,3,4,11759,1683.132371,1725.905937,42.774,274.9,1536
TCGA-D8-A27H-01Z-00-DX1.BE9DFDD4-97C5-4327-B1DA-4B34A6F267C5,0,4,9667,1724.504028,1759.867605,35.364,273.4,1536
TCGA-D8-A27I-01Z-00-DX1.ACAE0048-7AF0-41C9-992B-6ACDABF80B1C,1,4,4587,1706.399069,1723.818669,17.420,263.3,1536
TCGA-D8-A27K-01Z-00-DX1.25AF7928-046B-45BF-BAD6-F34156203F5A,2,4,13607,1519.983525,1570.103017,50.119,271.5,1536
TCGA-D8-A27L-01Z-00-DX1.6572593C-B015-4F9A-8C9B-B634CAA0D3B4,3,4,8301,1726.058721,1756.187883,30.129,275.5,1536
TCGA-D8-A27M-01Z-00-DX1.3020D223-2400-4A2D-8BFE-08A5B78FE13B,0,4,11335,1760.033876,1801.582041,41.548,272.8,1536
TCGA-D8-A27N-01Z-00-DX1.85613A4F-1FFB-4091-B925-8E8A7C7A6D95,1,4,9811,1723.902766,1761.037262,37.134,264.2,1536
TCGA-D8-A27N-01Z-00-DX2.EB803DEC-438B-43A9-B906-FD7C3B9A0138,2,4,2639,1570.240256,1580.188569,9.948,265.3,1536
TCGA-D8-A27P-01Z-00-DX1.EF426996-D0DC-4418-BEC4-F7CE3C82C869,3,4,9040,1756.292377,1789.116319,32.824,275.4,1536
TCGA-D8-A27R-01Z-00-DX1.F6E2FD1C-0666-4788-8D95-A76D15907270,0,4,19743,1801.769653,1873.651366,71.882,274.7,1536
TCGA-D8-A27R-01Z-00-DX2.31F47D8F-DFD7-42AE-BBBA-7DBBA12FA97D,1,4,18182,1761.197321,1830.583985,69.387,262.0,1536
TCGA-D8-A27T-01Z-00-DX1.1E3A4D57-9CF2-4EBF-B74D-ADD7BD8CBFA5,2,4,19168,1580.296758,1650.826114,70.529,271.8,1536
TCGA-D8-A27T-01Z-00-DX2.7CCFE3AA-955B-4D77-9EDB-7B36D5A01168,3,4,1386,1789.206891,1794.331913,5.125,270.4,1536
TCGA-D8-A27V-01Z-00-DX1.F937C53B-0B55-4271-843E-2C28F72CF28E,0,4,22564,1873.910019,1956.212105,82.302,274.2,1536
TCGA-D8-A27V-01Z-00-DX2.81E4FFDF-7123-4AC3-BE24-A82564A6C34C,1,4,3991,1830.753110,1845.868634,15.116,264.0,1536
TCGA-D8-A27W-01Z-00-DX1.CE2D4FEA-284C-44AF-A70F-7956D91CCB29,2,4,29428,1651.111156,1759.761954,108.651,270.8,1536
TCGA-D8-A27W-01Z-00-DX2.4E0D2E4E-5662-4305-8FC2-C651CDDA4998,3,4,12978,1794.405876,1841.462417,47.057,275.8,1536
TCGA-D8-A3Z5-01Z-00-DX1.4DBF937F-623C-4212-8493-ECE3C8F555E3,0,4,18883,1956.484824,2024.155540,67.671,279.0,1536
TCGA-D8-A3Z5-01Z-00-DX2.6196B9FF-F09E-4D44-873D-E53BFB2BF4E1,1,4,15503,1845.971050,1904.856655,58.886,263.3,1536
