slide_idx,slide_id,format,bytes_written,t_write_start_s,t_write_end_s,write_ms
0,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,tiff5x,8836442,227.327927,229.516358,2188.430
1,TCGA-A1-A0SK-01Z-00-DX1.A44D70FA-4D96-43F4-9DD7-A61535786297,tiff5x,12046372,542.596360,545.403918,2807.557
2,TCGA-A2-A0CL-01Z-00-DX1.5342E971-DCD2-42C4-B4FF-E6942A95829E,tiff5x,9177304,800.418809,802.602266,2183.456
3,TCGA-A2-A0D4-01Z-00-DX1.35E43827-DABC-4685-A62A-333672923349,tiff5x,7260725,968.630522,970.408873,1778.350
4,TCGA-A2-A0SV-01Z-00-DX1.F5645E47-3540-4753-AF5D-F5709BD8DFC1,tiff5x,10610427,1265.111558,1267.442165,2330.606
5,TCGA-A2-A0YG-01Z-00-DX1.89A39319-F880-47DE-B311-DA1F6A64B6F3,tiff5x,5840391,1402.127485,1403.888875,1761.390
6,TCGA-A2-A259-01Z-00-DX1.7289CD72-CB74-41D4-B4AC-4EA5FDFEC666,tiff5x,13702696,1780.476425,1784.677950,4201.524
0,TCGA-3C-AALI-01Z-00-DX2.CF4496E0-AB52-4F3E-BDF5-C34833B91B7C,tiff5x,10613714,325.160966,327.737588,2576.621
1,TCGA-A1-A0SM-01Z-00-DX1.AD503DBD-4D93-4476-B467-F091254FDF78,tiff5x,7552781,504.387789,506.631993,2244.204
2,TCGA-A2-A0CM-01Z-00-DX1.AC4901DE-4B6D-4185-BB9F-156033839828,tiff5x,6087676,655.868348,657.694728,1826.379
3,TCGA-A2-A0EM-01Z-00-DX1.305CF011-7451-4880-9A5D-AB4432CF53A5,tiff5x,5003426,745.076371,746.525716,1449.344
4,TCGA-A2-A0SW-01Z-00-DX1.E1EA0407-B831-4D75-826E-80B82B821797,tiff5x,7690779,925.635456,928.474520,2839.064
5,TCGA-A2-A0YH-01Z-00-DX1.FBA5E711-8275-45B3-BC20-5A786EE23548,tiff5x,4096942,1036.096076,1036.974134,878.058
6,TCGA-A2-A25A-01Z-00-DX1.6D311E39-9F96-4775-B9DA-8D034D1AD1DC,tiff5x,8778535,1284.171264,1285.915033,1743.769
7,TCGA-A2-A3Y0-01Z-00-DX1.A1EDDF82-FFAA-44A4-A749-7FB6F8133CC0,tiff5x,8410263,1492.751610,1494.486639,1735.028
8,TCGA-A7-A0CJ-01Z-00-DX2.4B591117-5FC9-4B43-8A45-444CCCABC666,tiff5x,1913772,1534.994317,1535.755352,761.034
9,TCGA-A7-A13G-01Z-00-DX2.72EF429E-75A7-4D1B-AFFC-8767CB213CDA,tiff5x,1176697,1559.535539,1559.863606,328.066
10,TCGA-A7-A426-01Z-00-DX1.3058E873-9442-4872-80DA-E8A5B35054D2,tiff5x,3701413,1655.945968,1657.539380,1593.412
11,TCGA-A7-A6VY-01Z-00-DX1.38D4EBD7-40B0-4EE3-960A-1F00E8F83ADB,tiff5x,1153193,1676.928685,1678.103455,1174.769
12,TCGA-A8-A07E-01Z-00-DX1.AC684481-979A-46F9-91D7-C56CE85992F2,tiff5x,3047855,1740.952488,1742.246743,1294.255
13,TCGA-A8-A084-01Z-00-DX1.2B52D1B8-5AD4-4BD6-ADF7-9D65B8EE2621,tiff5x,2379432,1798.234800,1798.761481,526.681
0,TCGA-3C-AALJ-01Z-00-DX1.777C0957-255A-42F0-9EEB-A3606BCF0C96,tiff5x,13119460,358.160572,360.373714,2213.141
1,TCGA-A1-A0SN-01Z-00-DX1.5E9B85AE-AFB7-41DC-8A1B-BD6DA39B6540,tiff5x,6172370,501.112823,502.850333,1737.509
2,TCGA-A2-A0CO-01Z-00-DX1.B191DADE-7DEA-4575-AED7-1C52BE15B8D5,tiff5x,6971516,663.363577,665.046330,1682.753
3,TCGA-A2-A0EN-01Z-00-DX1.F43A5D17-9267-4963-993A-93AC91BDC031,tiff5x,7076294,823.665917,825.870220,2204.302
4,TCGA-A2-A0SX-01Z-00-DX1.219A994C-8974-4458-98FA-FB1F14868E04,tiff5x,8809012,998.409889,1002.325900,3916.010
5,TCGA-A2-A0YI-01Z-00-DX1.1CF2EC2D-C722-467F-8832-409B823E8D8F,tiff5x,7255385,1192.072600,1194.599136,2526.535
6,TCGA-A2-A25B-01Z-00-DX1.58D7BEDE-5558-4A9E-A95E-DDF24C9267EF,tiff5x,10683580,1473.421882,1476.072860,2650.976
0,TCGA-3C-AALJ-01Z-00-DX2.62DFE56B-B84C-40F9-9625-FCB55767B70D,tiff5x,9894283,281.245895,283.536181,2290.286
1,TCGA-A1-A0SP-01Z-00-DX1.20D689C6-EFA5-4694-BE76-24475A89ACC0,tiff5x,13206779,646.243009,648.743843,2500.833
2,TCGA-A2-A0CP-01Z-00-DX1.ECFD263C-BB17-4ADA-8F2C-654C2AA4C45F,tiff5x,4159492,749.505591,750.334379,828.788
3,TCGA-A2-A0EO-01Z-00-DX1.D7A09E23-2CAB-4B3B-814C-BF0BA75B7589,tiff5x,6588111,930.060493,931.721061,1660.567
4,TCGA-A2-A0SY-01Z-00-DX1.279A5479-E183-4F79-AF40-50BF1834BA4A,tiff5x,13838054,1305.934126,1309.665349,3731.222
5,TCGA-A2-A0YJ-01Z-00-DX1.8135C74E-DAA8-4C8E-AF14-A4B5B57695BE,tiff5x,7159364,1493.100700,1494.551706,1451.006
6,TCGA-A2-A25C-01Z-00-DX1.F8E6044A-435E-42D5-94FF-C0F572F1ED99,tiff5x,9611879,1756.990249,1759.254941,2264.691
0,TCGA-3C-AALK-01Z-00-DX1.4E6EB156-BB19-410F-878F-FC0EA7BD0B53,tiff5x,9094608,219.994155,221.929596,1935.439
1,TCGA-A1-A0SQ-01Z-00-DX1.36071264-3407-4224-BCBB-2ED00294569A,tiff5x,14394675,611.330887,614.148530,2817.642
2,TCGA-A2-A0CQ-01Z-00-DX1.4E5FB4E5-A08C-4C87-A3BE-0640A95AE649,tiff5x,3941334,700.504429,701.795955,1291.525
3,TCGA-A2-A0EP-01Z-00-DX1.1180C406-5C18-4373-8621-1B7B70875113,tiff5x,4257694,767.782872,769.419427,1636.555
4,TCGA-A2-A0T0-01Z-00-DX1.51F904DA-A4B5-4451-8AEF-58E7EF7651DB,tiff5x,9230420,981.815800,986.040688,4224.887
5,TCGA-A2-A0YK-01Z-00-DX1.FB23FC30-B3B2-452A-A6B0-94129B333207,tiff5x,7157648,1169.254178,1171.394447,2140.269
6,TCGA-A2-A25D-01Z-00-DX1.41DADDB8-3E3F-4F8F-8BE7-C43F8FBCFD2B,tiff5x,10436847,1449.143306,1451.974468,2831.161
7,TCGA-A2-A4RY-01Z-00-DX1.143E32FC-E10F-4590-9C72-32094B24EF8C,tiff5x,7495449,1684.201743,1685.972671,1770.927
0,TCGA-4H-AAAK-01Z-00-DX1.ABF1B042-1970-4E28-8671-43AAD393D2F9,tiff5x,5295215,154.815243,156.249106,1433.862
1,TCGA-A2-A04N-01Z-00-DX1.9E9B7DB0-1CF1-4631-8292-A9DBCA0BD37C,tiff5x,6147971,320.244447,322.949920,2705.473
2,TCGA-A2-A0CR-01Z-00-DX1.F7D36CA5-A4C6-443A-AEED-5B23CD924FA3,tiff5x,10401716,608.440967,612.242044,3801.076
3,TCGA-A2-A0EQ-01Z-00-DX1.5FCD8890-4594-4BE2-93B1-B8F698BFD2A0,tiff5x,8373102,819.165122,821.965114,2799.991
4,TCGA-A2-A0T1-01Z-00-DX1.CD1E9C46-18A3-466B-AA0B-24F3055FA851,tiff5x,5570880,965.278706,966.780026,1501.319
5,TCGA-A2-A0YL-01Z-00-DX1.69A438C7-B1E0-4990-B1E6-586C551DC79C,tiff5x,6761070,1168.452272,1170.150231,1697.958
6,TCGA-A2-A25E-01Z-00-DX1.46D1950B-0BAF-4A44-B58F-CD738E74CB27,tiff5x,7280051,1378.700735,1380.305148,1604.412
7,TCGA-A2-A4S0-01Z-00-DX1.5878187D-325F-4274-BE41-86BB2BA5F841,tiff5x,8122497,1594.785467,1596.721540,1936.072
8,TCGA-A7-A0DA-01Z-00-DX2.90C93176-C3C6-41B3-B34B-B16F1A1779E6,tiff5x,2332666,1654.335792,1655.283063,947.271
9,TCGA-A7-A26F-01Z-00-DX1.7ADE881D-325D-48ED-BA2D-30F589CA8EF2,tiff5x,2290189,1701.862297,1702.733225,870.927
10,TCGA-A7-A4SD-01Z-00-DX1.677152B3-17B2-42DB-AEEC-C9509ACCE831,tiff5x,2688579,1767.174775,1768.710457,1535.681
0,TCGA-5L-AAT0-01Z-00-DX1.5E171263-30BF-4C6B-88A1-E8EA0522A861,tiff5x,2616689,54.030505,54.893206,862.700
1,TCGA-A2-A04P-01Z-00-DX1.5B481E02-D269-4732-8FDD-6494E6EE2B71,tiff5x,8655314,250.637410,253.485281,2847.871
2,TCGA-A2-A0CS-01Z-00-DX1.3986B545-63E8-4727-BCC1-701DE947D1FB,tiff5x,7570278,464.885975,466.142621,1256.645
3,TCGA-A2-A0ER-01Z-00-DX1.18123C1B-A0CC-4957-9373-5FFAB985C2E8,tiff5x,5838335,592.288357,593.583140,1294.783
4,TCGA-A2-A0T2-01Z-00-DX1.29A5C4C8-6AE8-44EE-98C2-ACBCBFBE9D60,tiff5x,11117293,931.343533,934.734277,3390.744
5,TCGA-A2-A0YM-01Z-00-DX1.A48B4C96-2CC5-464C-98B7-F0F92AE56533,tiff5x,7372459,1091.008809,1092.808985,1800.175
6,TCGA-A2-A25F-01Z-00-DX1.87499CD4-E41C-46B1-AAF3-5CE881F2B8BC,tiff5x,9615508,1304.143392,1308.029577,3886.184
7,TCGA-A2-A4S1-01Z-00-DX1.C69B14F6-5021-4FD8-8F2D-70227A5DA2B1,tiff5x,3952337,1406.919916,1407.917899,997.982
8,TCGA-A7-A0DB-01Z-00-DX1.9CE855BC-0C37-43FB-8806-6625E176BE2E,tiff5x,3538154,1486.043872,1487.719954,1676.081
9,TCGA-A7-A26G-01Z-00-DX1.29A27673-A16D-4044-BCCF-14BF6236D7D3,tiff5x,3611337,1569.096830,1570.511613,1414.782
10,TCGA-A7-A4SE-01Z-00-DX1.16BC8401-E40E-4A1A-9BD9-12735C9AE3F6,tiff5x,2943561,1636.086547,1637.081238,994.691
11,TCGA-A8-A06R-01Z-00-DX1.41476D0D-BA72-4FB8-B143-9EB679F26D28,tiff5x,1846530,1677.665722,1678.012786,347.063
12,TCGA-A8-A07L-01Z-00-DX1.D9E1051F-724E-4E88-940A-C97005DC5BEB,tiff5x,1427855,1710.222435,1710.516731,294.295
13,TCGA-A8-A08C-01Z-00-DX1.0602211C-1098-4711-AA41-8F56B11DB36F,tiff5x,2014503,1753.383404,1753.741421,358.016
0,TCGA-5L-AAT1-01Z-00-DX1.F3449A5B-2AC4-4ED7-BF44-4C8946CDB47D,tiff5x,3222669,60.633658,62.672177,2038.518
1,TCGA-A2-A04Q-01Z-00-DX1.DF7ED6B6-7701-486D-9007-F26B6F0682C4,tiff5x,2406571,117.743063,118.994607,1251.544
2,TCGA-A2-A0CT-01Z-00-DX1.A8564130-49CF-4F5B-B5AB-F4D1A10479FF,tiff5x,9890401,334.673666,336.933649,2259.982
3,TCGA-A2-A0ES-01Z-00-DX1.5652EE30-48C1-4EC1-AD77-8C72DFCB9A97,tiff5x,15526333,736.550949,740.566844,4015.894
4,TCGA-A2-A0T3-01Z-00-DX1.5E96BC87-F4FB-4ABA-8D81-FAB7F4A80661,tiff5x,7112585,910.416282,912.937218,2520.936
5,TCGA-A2-A0YT-01Z-00-DX1.63CA3E36-B3E4-4D3F-9F80-2703970DBE5B,tiff5x,10884010,1190.243786,1192.833918,2590.132
6,TCGA-A2-A3KC-01Z-00-DX1.2532878B-49E2-48D5-82D5-00730C90EEF8,tiff5x,7532280,1384.782100,1387.013616,2231.515
