step_idx,phase,t_step_start_s,t_step_end_s,step_duration_ms,t_dataload_ms,t_forward_ms,samples_per_step,slide_id_in_step,world_size
0,ramp,0.138069,1.447391,1309.322,17.204,1292.006,256,TCGA-AR-A254-01Z-00-DX1.EA5CD008-1106-41EC-998A-04EF08EEEC9D,4
1,ramp,1.459929,2.315025,855.097,1.761,853.257,256,TCGA-AR-A254-01Z-00-DX1.EA5CD008-1106-41EC-998A-04EF08EEEC9D,4
2,ramp,2.326374,3.182258,855.884,1.767,854.024,256,TCGA-AR-A254-01Z-00-DX1.EA5CD008-1106-41EC-998A-04EF08EEEC9D,4
3,ramp,3.193986,4.051304,857.319,1.758,855.473,256,TCGA-AR-A254-01Z-00-DX1.EA5CD008-1106-41EC-998A-04EF08EEEC9D,4
4,ramp,4.065023,4.923362,858.338,1.796,856.455,256,TCGA-AR-A254-01Z-00-DX1.EA5CD008-1106-41EC-998A-04EF08EEEC9D,4
5,ramp,4.936267,5.795910,859.643,1.815,857.735,256,TCGA-AR-A254-01Z-00-DX1.EA5CD008-1106-41EC-998A-04EF08EEEC9D,4
6,ramp,5.807557,6.668111,860.554,1.768,858.712,256,TCGA-AR-A254-01Z-00-DX1.EA5CD008-1106-41EC-998A-04EF08EEEC9D,4
7,ramp,6.679816,7.541210,861.394,1.761,859.572,256,TCGA-AR-A254-01Z-00-DX1.EA5CD008-1106-41EC-998A-04EF08EEEC9D,4
8,ramp,7.553123,8.413931,860.807,1.761,858.985,256,TCGA-AR-A254-01Z-00-DX1.EA5CD008-1106-41EC-998A-04EF08EEEC9D,4
9,ramp,8.425768,9.287538,861.770,1.758,859.951,256,TCGA-AR-A254-01Z-00-DX1.EA5CD008-1106-41EC-998A-04EF08EEEC9D,4
10,steady,9.298978,10.162592,863.614,1.766,861.794,256,TCGA-AR-A254-01Z-00-DX1.EA5CD008-1106-41EC-998A-04EF08EEEC9D,4
11,steady,10.174214,11.037702,863.488,1.759,861.674,256,TCGA-AR-A254-01Z-00-DX1.EA5CD008-1106-41EC-998A-04EF08EEEC9D,4
