slide_id,rank_handled,world_size,n_tiles,t_start_s,t_end_s,wallclock_s,tiles_per_sec_slide,embedding_dim
TCGA-BH-A209-01Z-00-DX1.88B11AEB-11FA-4D23-BC21-378EF177E04B,0,4,25363,0.174102,111.156829,110.983,228.5,1536
TCGA-BH-A28O-01Z-00-DX1.B37603E3-BC80-4DDA-B44D-B5F794E3398E,1,4,17129,0.128078,74.774283,74.646,229.5,1536
TCGA-BH-A28Q-01Z-00-DX1.C6D1CA93-6B2A-4722-9270-5D56592D833D,2,4,23090,0.166956,101.069227,100.902,228.8,1536
TCGA-BH-A2L8-01Z-00-DX1.ACA51CA9-3C38-48A6-B4A9-C12FFAB9AB56,3,4,24132,0.181028,103.708360,103.527,233.1,1536
TCGA-BH-A42T-01Z-00-DX1.6E4609B9-BE7E-4CA9-A1C0-A77A7DEFBB2B,0,4,12736,111.435037,167.609714,56.175,226.7,1536
TCGA-BH-A42U-01Z-00-DX1.130D060A-3DD8-407E-B8B0-EBBF743491AE,1,4,19653,75.033623,163.501608,88.468,222.1,1536
TCGA-BH-A42V-01Z-00-DX1.B6D78256-05D1-45FA-826A-1B8554D60B7D,2,4,4583,101.286416,121.972789,20.686,221.5,1536
TCGA-BH-A5IZ-01Z-00-DX1.6C871030-82E1-463E-A67B-976A5F3DCDB2,3,4,16723,104.007693,176.682509,72.675,230.1,1536
TCGA-BH-A5J0-01Z-00-DX1.73CFBC85-8449-48FF-86F8-D4D49A90498B,0,4,14605,167.803153,232.511036,64.708,225.7,1536
TCGA-C8-A12K-01Z-00-DX1.D71C7974-65F7-4EF0-8FFB-9F27CEC85242,1,4,10216,163.712191,210.240773,46.529,219.6,1536
TCGA-C8-A12L-01Z-00-DX1.01863BE4-F4AB-45DE-894A-46544777C519,2,4,11889,122.096572,174.695942,52.599,226.0,1536
TCGA-C8-A12M-01Z-00-DX1.0C5F2DED-873F-4C86-97A2-2AA76A6236DF,3,4,9561,176.880709,218.882965,42.002,227.6,1536
TCGA-C8-A12N-01Z-00-DX1.8E50110E-A6C0-496F-B44E-7190096C113E,0,4,7280,232.674617,264.920312,32.246,225.8,1536
TCGA-C8-A12O-01Z-00-DX1.A77E552B-7B69-45B7-B341-A03571F2A06C,1,4,7514,210.368246,244.934759,34.567,217.4,1536
TCGA-C8-A12P-01Z-00-DX1.670B5DE8-07B0-4E4C-93FA-FA3DFFCCE50D,2,4,6436,174.828671,203.646462,28.818,223.3,1536
TCGA-C8-A12Q-01Z-00-DX1.CE74E5B7-FD30-4CBE-8716-ECCF2213AAC3,3,4,10666,219.019042,265.927247,46.908,227.4,1536
TCGA-C8-A12T-01Z-00-DX1.EF628C26-C570-4D15-A0C0-58B2CC40ABFC,0,4,12701,265.043905,320.738390,55.694,228.0,1536
TCGA-C8-A12U-01Z-00-DX1.8E90FC9F-630E-4611-A5D2-D6F11DBE81EF,1,4,17457,245.081598,323.580482,78.499,222.4,1536
TCGA-C8-A12V-01Z-00-DX1.84B29360-B87B-4648-A697-B6610336C2BB,2,4,15426,203.767974,272.600587,68.833,224.1,1536
