run_dir,workloads_tag,n_workloads,duration_s,ingest_present,extract_tiles_per_sec_mean,extract_step_ms_mean,extract_n_steady_steps,extract_present,mil_present,viewer_present,weka_read_MiBps_mean,weka_read_MiBps_full_mean,weka_write_MiBps_mean,weka_write_MiBps_full_mean,weka_read_MiBps_max,weka_write_MiBps_max,ingest_bytes_per_sec_mean,ingest_bytes_per_sec_full_mean,ingest_bytes_per_sec_max,ingest_MiBps_mean,ingest_MiBps_full_mean,mil_samples_per_sec_mean,mil_n_steady_steps,viewer_iops_aggregate,viewer_bw_MiBps_aggregate,viewer_p99_lat_ms,ingest_retention_pct,extract_retention_pct,mil_retention_pct,viewer_retention_pct
2026-08-22-090440-weka-s6.C-concurrent-extract,extract,1,690.0,0,268.3723489122801,942.6985642135638,693,1,0,0,146.32342883452742,141.95217375054335,3.646016538474519,3.392980690378496,205.59904907226564,112.11338698387146,,,,,,,,,,,,,,
2026-08-22-085530-weka-s6.C-concurrent-ingest,ingest,1,523.0,1,,,,0,0,0,0.0,0.0,2170.531146109604,2139.2024945666003,0.0,3763.4247671699527,2221250452.454889,2221250452.454889,5233068235.123765,2118.3495068119896,2118.3495068119896,,,,,,,,,
2026-08-22-091639-weka-s6.C-concurrent-mil,mil,1,1804.0,0,,,,0,1,0,1917.5748229249318,31.40896567181294,0.0,0.0,2424.410658464432,0.0,,,,,,39.45066666666666,59176,,,,,,,
2026-08-22-102230-weka-s6.C-concurrent-viewer,viewer,1,1826.0,0,,,,0,0,1,91.46668644478663,90.04435758858779,710.0456022344935,9.342705292559126,95.54584551811219,1185.0803585910796,,,,,,,,23441.054182,91.56920080859375,0.214016,,,,
2026-08-22-150259-weka-s6.C-concurrent-extract+ingest,extract+ingest,2,696.0,1,271.6672539580958,931.2650836940836,693,1,0,0,145.38084404446144,140.3791877110055,2421.1688579182164,1596.3940954077934,227.34812119483948,4108.459102449417,2524450544.649079,2524450544.649079,5307412977.3255415,2407.5036474695958,2407.5036474695958,,,,,,113.64997323282921,101.22773641143361,,
2026-08-22-110523-weka-s6.C-concurrent-extract+mil,extract+mil,2,1804.0,0,269.03983561171157,940.3597330447333,693,1,1,0,245.06486303034723,86.52494145610429,3.6416843216933295,1.2983971340662053,2559.2147615909576,140.32546970367432,,,,,,38.22933333333334,57344,,,,,100.24871664392283,96.90415033121538,
2026-08-22-124154-weka-s6.C-concurrent-extract+viewer,extract+viewer,2,1825.0,0,272.0968886108388,929.7946378066382,693,1,0,1,143.86686166622223,142.57541766562778,26.749272335077173,9.892908619436081,288.08655555725096,1180.4908028030395,,,,,,,,23072.613226,90.12973113183594,0.218112,,101.38782542749072,,98.42822360658626
2026-08-22-113605-weka-s6.C-concurrent-mil+viewer,mil+viewer,2,1828.0,0,,,,0,1,1,89.14920362350789,87.60670461401149,668.5149776558255,9.18509228559378,94.45070645332336,1178.5924040794373,,,,,,38.650666666666666,57976,22837.476243,89.21044718359374,0.218112,,,97.97215087197513,97.42512459416831
2026-08-22-151504-weka-s6.C-concurrent-extract+mil+ingest,extract+mil+ingest,3,1809.0,1,270.66958209570623,934.6976709956703,693,1,1,0,144.79011044417783,54.33430312412523,2308.733483132967,611.4513851502755,217.864675283432,4141.025625104905,2413197982.292229,2413197982.292229,4278425251.105954,2301.4049361154835,2301.4049361154835,36.976,55464,,,,108.64141770349234,100.85598728510479,93.72718669730973,
2026-08-22-134345-weka-s6.C-concurrent-extract+mil+viewer,extract+mil+viewer,3,1828.0,0,274.5243216124302,921.5730923520938,693,1,1,1,143.20873523954432,141.83913585889118,28.748424439531032,10.568010179504832,284.4770515918732,1190.752407646179,,,,,,38.11,57165,22956.95082,89.67705845996093,0.222208,,102.29232732995193,96.60166283628499,97.93480549875724
2026-08-22-154552-weka-s6.C-concurrent-extract+mil+ingest+viewer,extract+mil+ingest+viewer,4,1833.0,1,268.9557434639568,940.6537474747482,693,1,1,1,135.01871655765754,133.4084754538095,2275.146442863274,611.0152802653421,280.7662656402588,4060.832479372024,2371084693.3871484,2366500734.595297,5568724421.241727,2261.2425741073116,2256.870970340058,36.52133333333333,54782,20884.02723,81.57931619433593,0.724992,106.74549062068463,100.21738251129122,92.57469244288225,89.09167253252842
2026-08-22-162639-weka-s6.C-concurrent-extract+mil+ingest+viewer,extract+mil+ingest+viewer,4,14734.0,1,271.6638013682918,931.2769191919182,693,1,1,1,94.89618988071051,94.74826678187627,2297.879013101123,76.3020828322341,282.4862973976135,3600.002998571396,2364633080.1821113,2364633080.1821113,4210720416.8284926,2255.0898362942803,2255.0898362942803,38.78652777777778,558526,22617.319161,88.35012241992187,0.232448,106.4550410138919,101.22644991905912,98.31653316659909,96.4859301352047
