run_dir,tier,model,features_tag,batch_size,num_workers,duration_s,samples_per_sec_steady,n_steady_steps,n_slides_in_corpus,step_duration_ms_mean,dataload_ms_mean,forward_ms_mean,backward_ms_mean,gpu_stall_pct,weka_read_mean_MiBps,weka_read_max_MiBps,weka_ops_per_sec_mean,rdma_rcv_mean_MiBps,cpu_non_dpdk_mean_pct,gpu_util_mean_pct,gpu_mem_max_mib
2026-08-21-154626-weka-s6.B.3-train-mil-virchow2-brca_full-bs1-nw4,6.B.3,virchow2,brca_full,1,4,1204.0,33.55111111111111,30196,1064,8.490982646708146,25.33835882236069,0.9248626970459636,0.9484136309444924,298.41491705537845,1552.3963148083403,1919.657557592392,157.22058805740363,0.0,4.931568464730287,18.027385892116182,3643.0
2026-08-21-160651-weka-s6.B.3-train-mil-virchow2-brca_full-bs1-nw16,6.B.3,virchow2,brca_full,1,16,1204.0,37.922222222222224,34130,1064,9.703471667154998,20.653177527102205,1.0760587459712863,1.16551725754468,212.84317856062333,0.0,0.0,117.17627868982765,0.0,5.444194086386244,20.671641791044777,3049.0
2026-08-21-162717-weka-s6.B.3-train-mil-virchow2-brca_full-bs1-nw32,6.B.3,virchow2,brca_full,1,32,1205.0,37.83111111111111,34048,1064,9.889860167998114,20.522940055216278,1.145296963110906,1.1922962288533847,207.51496691151385,0.0,0.0,116.94319479586389,0.0,5.640977310417616,20.339966832504146,2699.0
2026-08-21-164746-weka-s6.B.3-train-mil-gigapath-brca_full-bs1-nw4,6.B.3,gigapath,brca_full,1,4,1204.0,29.574444444444445,26617,1064,10.00780332118569,28.66175293985052,1.047492016380507,0.9690182965773741,286.39404692512255,1689.275880000656,2006.3424130821227,160.07422399773256,0.0,4.772533289324784,18.611618257261412,1777.0
2026-08-21-170811-weka-s6.B.3-train-mil-gigapath-brca_full-bs1-nw16,6.B.3,gigapath,brca_full,1,16,1204.0,33.12555555555556,29813,1064,11.406122765236605,23.618120752691745,1.1798991379599455,1.1825607956260686,207.06528623972616,0.0,0.0,103.15027066463074,0.0,5.561846944549232,21.70124481327801,2935.0
2026-08-21-172836-weka-s6.B.3-train-mil-gigapath-brca_full-bs1-nw32,6.B.3,gigapath,brca_full,1,32,1204.0,33.09,29781,1064,11.572599173970023,23.470228367079635,1.2272152043249036,1.2020577549444282,202.80861727130994,0.0,0.0,102.79874561087327,0.0,5.734289725614353,21.511184755592378,2433.0
2026-08-21-174904-weka-s6.B.3-train-mil-uni2-h-brca_full-bs1-nw4,6.B.3,uni2-h,brca_full,1,4,1204.0,29.95888888888889,26963,1064,9.98858891814715,28.25901409338723,1.0359704780625278,1.0024623372770083,282.91297524564845,1730.2543487336898,2240.9925236225126,161.1651153809281,0.0,4.895477461335344,19.688796680497926,3535.0
2026-08-21-180929-weka-s6.B.3-train-mil-uni2-h-brca_full-bs1-nw16,6.B.3,uni2-h,brca_full,1,16,1204.0,33.46222222222222,30116,1064,11.443329891087876,23.27934506574577,1.21708749501926,1.1865549541771832,203.43156482691148,0.0,0.0,103.9808443105398,0.0,5.506322331195767,21.806799336650084,3001.0
2026-08-21-182958-weka-s6.B.3-train-mil-uni2-h-brca_full-bs1-nw32,6.B.3,uni2-h,brca_full,1,32,1205.0,33.57555555555555,30218,1064,11.635448209676301,22.985341816136128,1.2475468594877148,1.2531410417631843,197.5458220597037,0.0,0.0,103.0110819224107,0.0,5.727295454545458,21.4026512013256,2877.0
