stage,workload,bs,jobs,bs_bytes,run_dir,run_start_utc,run_end_utc,duration_s,fio_write_bw_kib,fio_write_iops,fio_write_p99_ns,fio_write_lat_mean_ns,fio_read_bw_kib,fio_read_iops,fio_read_p99_ns,fio_read_lat_mean_ns,rdma_xmit_bytes_sustained,rdma_xmit_dev,rdma_rcv_bytes_sustained,rdma_rcv_dev,weka_stats_rows,status
s1.0b,seqr,4M,1,4194304,2026-08-16-144315-weka-s1.0b-seqr-bs4M-jobs1,2026-08-16T14:43:21Z,2026-08-16T14:54:21Z,660.0,0.0,0.0,,0.0,4084526.514595,997.10342,2064,1002843.390755,0.0,,0.0,,46056,OK
s1.0b,seqr,1M,64,1048576,2026-08-16-145432-weka-s1.0b-seqr-bs1M-jobs64,2026-08-16T14:54:41Z,2026-08-16T14:58:29Z,228.0,0.0,0.0,,0.0,11514334.299842,11239.543373,9371648,5685622.009505,0.0,,0.0,,16036,OK
s1.0b,seqr,4k,4,4096,2026-08-16-145837-weka-s1.0b-seqr-bs4k-jobs4,2026-08-16T14:58:42Z,2026-08-16T15:09:43Z,661.0,0.0,0.0,,0.0,99101.498279,24774.963648,195584,161128.565694,0.0,,0.0,,46132,OK
s1.0b,seqr,256k,32,262144,2026-08-16-150953-weka-s1.0b-seqr-bs256k-jobs32,2026-08-16T15:09:59Z,2026-08-16T15:14:29Z,270.0,0.0,0.0,,0.0,11225782.56651,43844.468283,962560,729239.013255,0.0,,0.0,,18924,OK
s1.0b,seqr,64k,2,65536,2026-08-16-151436-weka-s1.0b-seqr-bs64k-jobs2,2026-08-16T15:14:41Z,2026-08-16T15:25:42Z,661.0,0.0,0.0,,0.0,474362.825688,7411.814846,325632,269605.62448,0.0,,0.0,,46056,OK
s1.0b,seqr,4M,8,4194304,2026-08-16-152553-weka-s1.0b-seqr-bs4M-jobs8,2026-08-16T15:25:58Z,2026-08-16T15:29:49Z,231.0,0.0,0.0,,0.0,11434792.086714,2790.040213,3568,2862447.604446,0.0,,0.0,,16188,OK
s1.0b,seqr,4M,16,4194304,2026-08-16-152956-weka-s1.0b-seqr-bs4M-jobs16,2026-08-16T15:30:02Z,2026-08-16T15:34:44Z,282.0,0.0,0.0,,0.0,11449668.413061,2794.232187,4016,5722912.981042,0.0,,0.0,,19760,OK
s1.0b,seqr,1M,1,1048576,2026-08-16-153452-weka-s1.0b-seqr-bs1M-jobs1,2026-08-16T15:34:57Z,2026-08-16T15:45:57Z,660.0,0.0,0.0,,0.0,1942060.002502,1896.318599,667648,527051.384235,0.0,,0.0,,46056,OK
s1.0b,seqr,4k,64,4096,2026-08-16-154609-weka-s1.0b-seqr-bs4k-jobs64,2026-08-16T15:46:14Z,2026-08-16T15:57:15Z,661.0,0.0,0.0,,0.0,1354824.557,338694.995332,244736,188604.08763,0.0,,0.0,,46132,OK
s1.0b,seqr,256k,4,262144,2026-08-16-155726-weka-s1.0b-seqr-bs256k-jobs4,2026-08-16T15:57:32Z,2026-08-16T16:08:32Z,660.0,0.0,0.0,,0.0,2667805.760634,10420.860717,481280,383457.673371,0.0,,0.0,,46056,OK
s1.0b,seqr,64k,32,65536,2026-08-16-160844-weka-s1.0b-seqr-bs64k-jobs32,2026-08-16T16:08:49Z,2026-08-16T16:17:19Z,510.0,0.0,0.0,,0.0,6331845.139912,98932.932887,423936,323141.56076,0.0,,0.0,,35644,OK
s1.0b,seqr,4M,2,4194304,2026-08-16-161729-weka-s1.0b-seqr-bs4M-jobs2,2026-08-16T16:17:40Z,2026-08-16T16:24:52Z,432.0,0.0,0.0,,0.0,7042255.608681,1718.867324,2160,1163355.173231,0.0,,0.0,,30172,OK
s1.0b,seqr,1M,8,1048576,2026-08-16-165746-weka-s1.0b-seqr-bs1M-jobs8,2026-08-16T16:57:51Z,2026-08-16T17:02:31Z,280.0,0.0,0.0,,0.0,10116231.178004,9877.950273,1155072,809630.899357,0.0,,0.0,,19608,OK
