run_dir,substage,backend,dataset,n_gpus,duration_s,samples_per_sec_aggregate_trainer,samples_per_sec_per_rank_trainer,effective_batch_size,ramp_s,steady_runtime_s,n_steady_steps_csv,samples_per_sec_aggregate_csv,samples_per_sec_per_rank_csv,gpu_stall_pct_csv,compute_only_step_ms_mean_csv,step_duration_ms_mean,step_duration_ms_p50,step_duration_ms_p95,step_duration_ms_p99,dataload_ms_mean,dataload_ms_p50,dataload_ms_p95,dataload_ms_p99,forward_ms_mean,backward_ms_mean,optimizer_ms_mean,loss_mean,weka_read_mean_MiBps,weka_read_max_MiBps,rdma_rcv_mean_MiBps,rdma_rcv_max_MiBps,ratio_rdma_over_weka_read,cpu_non_dpdk_mean_pct,cpu_non_dpdk_p95_pct,cpu_non_dpdk_max_pct,n_active_gpus,gpu_util_mean_pct,gpu_util_min_mean_pct,gpu_util_max_mean_pct,gpu_util_max_max_pct,gpu_mem_max_mib
2026-08-18-180124-weka-s5.A-train-resnet50-kvikio-brca-N1,5.A,kvikio,brca,1,1506.0,1037.8666666666666,1037.8666666666666,256,300,1200,4865,1038.2183951597601,1038.2183951597601,5.662912986380631,232.58655847893164,246.5762513874615,246.418,247.561,249.155,13.963398561151081,13.8,14.744,16.376,88.50870380267216,141.7759140801644,2.301940596094558,0.17093304419321684,197.00133644088677,210.6237557601929,0.0,0.0,0.0,1.6668371840501908,1.9159090909090912,3.209090909090909,1,95.48971466489715,95.48971466489715,95.48971466489715,100.0,16891.0
2026-08-18-182654-weka-s5.A-train-resnet50-kvikio-brca-N2,5.A,kvikio,brca,2,1510.0,1918.72,959.36,512,300,1200,4497,1919.278423653754,959.639211826877,5.881552517112614,251.0486646653328,266.76692328218854,266.593,268.614,270.012,15.690036691127428,15.552,16.407,18.259,89.3427427173671,159.2928850344678,2.4130369134978893,0.1587367694018229,363.8248063594932,398.4013499355316,0.0,0.0,0.0,2.936744254256664,3.188522727272728,5.69340909090909,2,94.93050959629385,94.86631369953673,94.99470549305096,100.0,17624.0
2026-08-18-185228-weka-s5.A-train-resnet50-kvikio-brca-N4,5.A,kvikio,brca,4,1512.0,3694.08,923.52,1024,300,1200,4329,3695.1406254515773,923.7851563628943,8.342435800203846,253.97307137907154,277.12071171171135,276.984,278.136,279.786,23.118617463617532,23.018,23.76,25.034,89.7371559251558,161.83199353199362,2.4039219219219174,0.11815211988911989,700.3959274406279,788.6936183547974,0.0,0.0,0.0,5.371560207732078,5.6417045454545445,10.706931818181818,4,92.24421678783872,92.15399867812293,92.30403172504957,100.0,18487.0
2026-08-18-191804-weka-s5.B-train-resnet50-cucim-brca-N1,5.B,cucim_batched_cpu,brca,1,1505.0,669.44,669.44,256,300,1200,3138,669.6235493950835,669.6235493950835,39.2071495064058,232.38297992351812,382.3043562778838,381.802,388.886,392.064,149.89064053537314,149.4,156.362,159.7,88.6916625239004,141.20878776290616,2.482529636711284,0.6566074034416829,121.92222003933632,403.41311243057254,0.0,0.0,0.0,4.962726367859085,5.8471590909090905,7.130909090909091,1,65.38553417385535,65.38553417385535,65.38553417385535,100.0,16879.0
2026-08-18-194333-weka-s5.B-train-resnet50-cucim-brca-N2,5.B,cucim_batched_cpu,brca,2,1510.0,1257.8133333333333,628.9066666666666,512,300,1200,2948,1258.1729673973782,629.0864836986891,37.53842408724371,254.14954715061032,406.9392788331078,406.136,414.981,420.141,152.75859226594238,152.008,160.966,167.207,90.4838032564451,161.20555834464042,2.460185549525096,0.6188389779511545,0.016339553682471187,1.7421646308898926,0.0,0.0,0.0,9.18436473437219,11.05034090909091,11.444431818181817,2,66.24487094639312,66.14626075446724,66.34348113831899,100.0,17476.0
2026-08-18-200906-weka-s5.B-train-resnet50-cucim-brca-N4,5.B,cucim_batched_cpu,brca,4,1512.0,2344.1066666666666,586.0266666666666,1024,300,1200,2747,2344.7378740102477,586.1844685025619,40.46438658030815,259.97408882417153,436.72259119038983,435.751,448.686,455.66,176.71711758281785,175.72,189.94,198.293,90.63594612304333,166.8895293046956,2.4486133964324748,0.5315620131052052,0.0017259231561220134,0.5468684387207031,0.0,0.0,0.0,19.10582842636542,23.64818181818182,24.615454545454543,4,62.86318572372769,62.59087904824851,63.05485789821547,100.0,18339.0
