slide_idx,slide_id,format,bytes_written,t_write_start_s,t_write_end_s,write_ms
12,TCGA-E2-A14Z-01Z-00-DX1.A1344A78-1842-4578-8CDE-921E50656891,tiff5x,7423782,1355.520044,1357.495354,1975.309
13,TCGA-E2-A573-01Z-00-DX1.D6633BC2-524D-4153-952F-6B1D8D067370,tiff5x,8195181,1477.343379,1479.979079,2635.699
14,TCGA-E9-A5UP-01Z-00-DX1.135466CC-601C-48B2-935D-42F8D7C4CDF7,tiff5x,4652907,1560.206921,1561.190712,983.790
15,TCGA-GM-A3XL-01Z-00-DX1.CCE8AA1D-9194-4E49-9546-DBF25A35847C,tiff5x,6237123,1662.109419,1663.635982,1526.562
0,TCGA-A2-A0CO-01Z-00-DX1.B191DADE-7DEA-4575-AED7-1C52BE15B8D5,tiff5x,6769596,77.756095,79.453568,1697.472
1,TCGA-A2-A25B-01Z-00-DX1.58D7BEDE-5558-4A9E-A95E-DDF24C9267EF,tiff5x,10346037,217.303279,219.907085,2603.805
2,TCGA-A7-A4SA-01Z-00-DX1.B48FFD3E-9B45-4CEA-ACEE-5B08058CCF5F,tiff5x,1731207,240.823480,241.663503,840.023
3,TCGA-A8-A08X-01Z-00-DX1.01FB49CC-6B8E-4317-8C42-6B6D81187A40,tiff5x,1716759,260.862850,261.162336,299.485
4,TCGA-AC-A4ZE-01Z-00-DX1.A9BB4DBC-4314-4A77-AA1C-0882DBC370F1,tiff5x,815161,270.219200,270.393341,174.140
5,TCGA-AR-A0TW-01Z-00-DX1.0C1EAE07-6BA6-4908-89E1-0133F3640174,tiff5x,13485788,461.588744,464.803348,3214.603
6,TCGA-B6-A0I2-01Z-00-DX1.885D2034-73B7-48AE-8343-631F89061C38,tiff5x,5972406,542.954371,544.640620,1686.249
7,TCGA-BH-A0BC-01Z-00-DX1.7A91831D-9625-49FC-B783-C633F80F898C,tiff5x,5693512,613.929795,615.500544,1570.749
8,TCGA-BH-A0HW-01Z-00-DX1.44DCCE00-133F-4469-A4DA-5057C011B4AC,tiff5x,11467173,762.516210,765.189102,2672.891
9,TCGA-C8-A12L-01Z-00-DX1.01863BE4-F4AB-45DE-894A-46544777C519,tiff5x,6595521,858.326294,859.631671,1305.376
10,TCGA-D8-A1J9-01Z-00-DX2.E1C59487-9563-4501-845F-2067A0C5C59B,tiff5x,4711625,925.357223,926.697197,1339.974
11,TCGA-D8-A1Y0-01Z-00-DX2.7C25E941-12A6-46CE-B1A5-488D08E35684,tiff5x,4631511,978.006777,979.501178,1494.400
12,TCGA-E2-A153-01Z-00-DX1.CA994467-E541-4131-A9FC-DCD9944F29C4,tiff5x,6306149,1048.848636,1050.150904,1302.267
13,TCGA-E2-A9RU-01Z-00-DX1.A06BE284-B9DC-4B45-A202-A9D027AEEDD9,tiff5x,9977906,1183.928603,1186.198456,2269.851
14,TCGA-EW-A1IX-01Z-00-DX1.72AE0E0F-B213-454F-8275-76A7C43FAB86,tiff5x,8175088,1295.175244,1296.822656,1647.411
15,TCGA-JL-A3YW-01Z-00-DX1.827C5C53-9C30-4307-802A-5A7896828A7F,tiff5x,4220906,1346.554493,1348.105187,1550.694
16,TCGA-WT-AB41-01Z-00-DX1.75BDFDF2-CD87-46D1-B32C-725741CB02BE,tiff5x,8046643,1446.917448,1449.456112,2538.664
17,TCGA-A2-A0CO-01Z-00-DX1.B191DADE-7DEA-4575-AED7-1C52BE15B8D5,tiff5x,6769596,1527.343754,1529.028396,1684.641
18,TCGA-A2-A25B-01Z-00-DX1.58D7BEDE-5558-4A9E-A95E-DDF24C9267EF,tiff5x,10346037,1663.745308,1666.309831,2564.523
19,TCGA-A7-A4SA-01Z-00-DX1.B48FFD3E-9B45-4CEA-ACEE-5B08058CCF5F,tiff5x,1731207,1686.631598,1687.450322,818.724
20,TCGA-A8-A08X-01Z-00-DX1.01FB49CC-6B8E-4317-8C42-6B6D81187A40,tiff5x,1716759,1705.974378,1706.273741,299.363
