step_idx,phase,t_step_start_s,t_step_end_s,step_duration_ms,t_dataload_ms,t_forward_ms,samples_per_step,slide_id_in_step,world_size
38,steady,36.624064,37.520062,895.998,1.789,894.133,256,TCGA-A1-A0SB-01Z-00-DX1.B34C267B-CAAA-4AB6-AD5C-276C26F997A1,4
39,steady,37.531310,38.428571,897.261,1.753,895.457,256,TCGA-A1-A0SB-01Z-00-DX1.B34C267B-CAAA-4AB6-AD5C-276C26F997A1,4
40,steady,38.441818,39.341410,899.592,1.756,897.785,256,TCGA-A1-A0SB-01Z-00-DX1.B34C267B-CAAA-4AB6-AD5C-276C26F997A1,4
41,steady,39.352977,40.253023,900.046,1.763,898.232,256,TCGA-A1-A0SB-01Z-00-DX1.B34C267B-CAAA-4AB6-AD5C-276C26F997A1,4
42,steady,40.264488,41.166013,901.525,1.760,899.712,256,TCGA-A1-A0SB-01Z-00-DX1.B34C267B-CAAA-4AB6-AD5C-276C26F997A1,4
43,steady,41.177348,42.079342,901.993,1.753,900.188,256,TCGA-A1-A0SB-01Z-00-DX1.B34C267B-CAAA-4AB6-AD5C-276C26F997A1,4
44,steady,42.091357,42.989406,898.049,1.749,896.241,256,TCGA-A1-A0SB-01Z-00-DX1.B34C267B-CAAA-4AB6-AD5C-276C26F997A1,4
45,steady,43.000727,43.896334,895.607,1.757,893.797,256,TCGA-A1-A0SB-01Z-00-DX1.B34C267B-CAAA-4AB6-AD5C-276C26F997A1,4
46,steady,43.907710,44.803381,895.671,1.748,893.870,256,TCGA-A1-A0SB-01Z-00-DX1.B34C267B-CAAA-4AB6-AD5C-276C26F997A1,4
47,steady,44.814649,45.711682,897.033,1.754,895.229,256,TCGA-A1-A0SB-01Z-00-DX1.B34C267B-CAAA-4AB6-AD5C-276C26F997A1,4
48,steady,45.723308,46.619392,896.084,1.746,894.288,256,TCGA-A1-A0SB-01Z-00-DX1.B34C267B-CAAA-4AB6-AD5C-276C26F997A1,4
49,steady,46.632344,47.529255,896.911,1.753,895.108,256,TCGA-A1-A0SB-01Z-00-DX1.B34C267B-CAAA-4AB6-AD5C-276C26F997A1,4
50,steady,47.540581,48.437813,897.232,1.748,895.432,256,TCGA-A1-A0SB-01Z-00-DX1.B34C267B-CAAA-4AB6-AD5C-276C26F997A1,4
51,steady,48.451324,49.348906,897.582,1.751,895.779,256,TCGA-A1-A0SB-01Z-00-DX1.B34C267B-CAAA-4AB6-AD5C-276C26F997A1,4
52,steady,49.360424,50.258699,898.275,1.746,896.475,256,TCGA-A1-A0SB-01Z-00-DX1.B34C267B-CAAA-4AB6-AD5C-276C26F997A1,4
53,steady,50.270173,51.169011,898.838,1.760,897.026,256,TCGA-A1-A0SB-01Z-00-DX1.B34C267B-CAAA-4AB6-AD5C-276C26F997A1,4
54,steady,51.180402,52.080268,899.866,1.746,898.071,256,TCGA-A1-A0SB-01Z-00-DX1.B34C267B-CAAA-4AB6-AD5C-276C26F997A1,4
55,steady,52.092463,52.993273,900.811,1.755,899.003,256,TCGA-A1-A0SB-01Z-00-DX1.B34C267B-CAAA-4AB6-AD5C-276C26F997A1,4
56,steady,53.004629,53.906375,901.746,1.743,899.950,256,TCGA-A1-A0SB-01Z-00-DX1.B34C267B-CAAA-4AB6-AD5C-276C26F997A1,4
57,steady,53.917670,54.818924,901.254,1.754,899.441,256,TCGA-A1-A0SB-01Z-00-DX1.B34C267B-CAAA-4AB6-AD5C-276C26F997A1,4
58,steady,54.830572,55.732801,902.229,1.761,900.394,256,TCGA-A1-A0SB-01Z-00-DX1.B34C267B-CAAA-4AB6-AD5C-276C26F997A1,4
59,steady,55.744161,56.646151,901.990,1.753,900.184,256,TCGA-A1-A0SB-01Z-00-DX1.B34C267B-CAAA-4AB6-AD5C-276C26F997A1,4
60,steady,56.657299,57.561239,903.940,1.750,902.138,256,TCGA-A1-A0SB-01Z-00-DX1.B34C267B-CAAA-4AB6-AD5C-276C26F997A1,4
61,steady,57.572498,58.476002,903.504,1.761,901.689,256,TCGA-A1-A0SB-01Z-00-DX1.B34C267B-CAAA-4AB6-AD5C-276C26F997A1,4
62,steady,58.487596,59.386713,899.117,1.750,897.289,256,TCGA-A1-A0SB-01Z-00-DX1.B34C267B-CAAA-4AB6-AD5C-276C26F997A1,4
63,steady,59.399243,60.298760,899.517,1.792,897.626,256,TCGA-A1-A0SB-01Z-00-DX1.B34C267B-CAAA-4AB6-AD5C-276C26F997A1,4
64,steady,60.310475,61.210790,900.315,1.765,898.462,256,TCGA-A1-A0SB-01Z-00-DX1.B34C267B-CAAA-4AB6-AD5C-276C26F997A1,4
65,steady,61.222567,62.123269,900.702,1.780,898.836,256,TCGA-A1-A0SB-01Z-00-DX1.B34C267B-CAAA-4AB6-AD5C-276C26F997A1,4
66,steady,62.130515,62.762620,632.105,1.043,630.989,152,TCGA-A1-A0SB-01Z-00-DX1.B34C267B-CAAA-4AB6-AD5C-276C26F997A1,4
