worker_id,time_since_start_s,file_idx_in_corpus,file_size_bytes,load_latency_ms,pattern,dtype_inferred
0,315.459318,43719,52430573,4237.324,random,float32
0,331.573901,4722,52430573,752.501,random,float32
0,342.075211,27535,52430573,806.390,random,float32
0,356.031865,3248,52430573,924.641,random,float32
0,368.408803,61694,52430573,759.308,random,float32
0,384.146514,52227,52430573,610.163,random,float32
0,396.282453,34237,52430573,679.543,random,float32
0,408.375246,50488,52430573,1722.464,random,float32
0,423.217576,43279,52430573,1090.264,random,float32
0,433.044505,25144,52430573,718.272,random,float32
0,449.260887,56346,52430573,1463.131,random,float32
0,461.807135,43933,52430573,943.553,random,float32
0,475.280107,62277,52430573,834.648,random,float32
0,487.532920,726,52430573,747.650,random,float32
0,499.827404,17477,52430573,596.195,random,float32
0,507.595131,32406,52430573,704.977,random,float32
0,521.195264,44020,52430573,2435.548,random,float32
0,536.400630,54377,52430573,795.228,random,float32
0,548.711238,49857,52430573,773.101,random,float32
0,561.007679,35774,52430573,729.222,random,float32
0,570.123059,3534,52430573,608.934,random,float32
0,582.165355,49689,52430573,1752.101,random,float32
0,590.226129,10735,52430573,590.865,random,float32
0,603.237670,26130,52430573,1912.542,random,float32
0,611.940065,48351,52430573,736.777,random,float32
0,623.113409,25995,52430573,932.877,random,float32
0,632.086611,9038,52430573,830.652,random,float32
0,640.838191,57080,52430573,879.985,random,float32
0,648.967847,36559,52430573,1651.902,random,float32
0,659.944146,63904,52430573,2292.933,random,float32
0,670.041030,31635,52430573,748.330,random,float32
0,677.104762,29045,52430573,1829.679,random,float32
0,686.407692,59473,52430573,633.486,random,float32
0,699.455451,25105,52430573,2744.466,random,float32
0,708.661024,23519,52430573,544.815,random,float32
0,719.528973,13446,52430573,1451.212,random,float32
0,729.326217,62616,52430573,668.525,random,float32
0,742.475419,11164,52430573,2015.790,random,float32
0,757.554145,40026,52430573,4126.262,random,float32
0,767.285446,9838,52430573,1775.933,random,float32
0,775.642604,37056,52430573,585.178,random,float32
0,785.797152,34816,52430573,641.034,random,float32
0,795.005041,39857,52430573,879.792,random,float32
0,806.636822,32816,52430573,570.100,random,float32
0,816.205225,36458,52430573,666.922,random,float32
0,826.249099,13710,52430573,731.604,random,float32
0,832.972158,41224,52430573,727.422,random,float32
0,846.051749,47419,52430573,2168.516,random,float32
0,855.692463,15915,52430573,511.573,random,float32
0,867.787815,60482,52430573,2303.369,random,float32
0,876.601524,59871,52430573,1853.108,random,float32
0,886.352013,336,52430573,2541.432,random,float32
0,896.291534,59682,52430573,844.756,random,float32
1,311.969005,2595,52430573,1501.877,random,float32
1,331.128140,13415,52430573,1006.744,random,float32
1,342.901720,26530,52430573,1031.312,random,float32
1,353.753170,57457,52430573,870.124,random,float32
1,369.318930,3361,52430573,1212.546,random,float32
1,381.669250,10637,52430573,937.994,random,float32
1,392.178171,14368,52430573,1647.562,random,float32
1,402.018462,22743,52430573,615.470,random,float32
1,414.360502,14197,52430573,1483.152,random,float32
1,422.742893,38126,52430573,790.317,random,float32
1,432.757370,41041,52430573,991.589,random,float32
1,445.603961,44076,52430573,1169.780,random,float32
1,459.320085,65764,52430573,861.603,random,float32
1,470.996426,58659,52430573,1317.293,random,float32
1,491.139766,37370,52430573,2707.019,random,float32
1,499.678327,19667,52430573,777.561,random,float32
1,511.388347,21079,52430573,1925.031,random,float32
1,527.308174,63930,52430573,1047.738,random,float32
1,541.223067,3981,52430573,716.326,random,float32
1,552.361933,4215,52430573,824.172,random,float32
1,561.267415,32583,52430573,550.610,random,float32
1,572.375661,46241,52430573,1710.924,random,float32
1,583.327938,6147,52430573,716.512,random,float32
1,592.831884,45963,52430573,576.840,random,float32
1,599.400321,62791,52430573,534.259,random,float32
1,610.865908,37003,52430573,750.205,random,float32
1,619.863702,13270,52430573,581.293,random,float32
1,628.429445,3633,52430573,595.085,random,float32
1,635.551345,52024,52430573,773.774,random,float32
1,647.048394,33931,52430573,1010.284,random,float32
1,657.110973,48532,52430573,873.808,random,float32
1,667.834172,2142,52430573,2158.129,random,float32
1,679.601402,34594,52430573,744.204,random,float32
1,688.965036,36159,52430573,816.299,random,float32
1,699.918503,13690,52430573,669.884,random,float32
1,712.940632,19547,52430573,735.435,random,float32
1,721.219459,6258,52430573,632.400,random,float32
1,738.321891,5822,52430573,756.336,random,float32
1,755.848603,1458,52430573,2735.472,random,float32
1,765.546577,20962,52430573,1831.643,random,float32
1,774.938431,9307,52430573,1799.839,random,float32
1,784.692520,58482,52430573,2428.023,random,float32
1,793.916428,53914,52430573,1752.135,random,float32
1,803.817106,39502,52430573,878.817,random,float32
1,817.045733,4082,52430573,1231.431,random,float32
1,828.783864,1713,52430573,672.917,random,float32
1,837.363361,1623,52430573,805.461,random,float32
1,849.634357,19390,52430573,576.157,random,float32
1,859.641677,11832,52430573,965.271,random,float32
1,874.226777,39733,52430573,1617.467,random,float32
1,884.033910,49395,52430573,642.844,random,float32
1,891.601280,36390,52430573,490.950,random,float32
2,308.750192,63233,52430573,750.692,random,float32
2,318.122881,10859,52430573,639.836,random,float32
2,330.574988,2911,52430573,1550.665,random,float32
2,343.617107,18900,52430573,1118.298,random,float32
2,360.657469,11073,52430573,836.201,random,float32
2,376.020732,64287,52430573,1455.263,random,float32
2,387.325603,24364,52430573,704.156,random,float32
2,398.581124,56710,52430573,2005.090,random,float32
2,409.285192,61344,52430573,548.480,random,float32
2,417.331162,41046,52430573,1375.523,random,float32
2,429.084970,13039,52430573,777.488,random,float32
2,441.909741,6271,52430573,1139.082,random,float32
2,460.289168,7425,52430573,953.340,random,float32
2,478.201379,48664,52430573,2726.669,random,float32
2,490.282132,52692,52430573,1230.214,random,float32
2,501.177868,19942,52430573,1879.695,random,float32
2,510.473802,3427,52430573,1571.619,random,float32
2,528.780897,30028,52430573,6119.604,random,float32
2,549.038981,55394,52430573,669.060,random,float32
2,561.066993,20784,52430573,641.174,random,float32
2,570.737873,51376,52430573,758.563,random,float32
2,581.766459,24594,52430573,1825.438,random,float32
2,592.741772,7008,52430573,547.267,random,float32
2,606.407412,54941,52430573,1711.579,random,float32
2,614.420260,7504,52430573,871.193,random,float32
2,623.203755,20845,52430573,741.074,random,float32
2,636.410539,5406,52430573,670.661,random,float32
2,646.910343,48384,52430573,2802.432,random,float32
2,656.469597,22179,52430573,1018.957,random,float32
2,668.253761,51908,52430573,612.680,random,float32
2,676.693033,41079,52430573,1375.615,random,float32
2,683.863351,26547,52430573,804.095,random,float32
2,692.740708,59104,52430573,563.155,random,float32
2,702.924342,61058,52430573,733.813,random,float32
2,711.330247,9877,52430573,861.410,random,float32
2,721.005408,62552,52430573,2647.238,random,float32
2,737.715489,43121,52430573,771.050,random,float32
2,752.906506,34726,52430573,906.045,random,float32
2,762.507566,59720,52430573,355.202,random,float32
2,769.794239,22973,52430573,621.408,random,float32
2,780.591547,42403,52430573,1727.728,random,float32
2,791.651435,951,52430573,722.232,random,float32
2,804.093340,26822,52430573,573.467,random,float32
2,811.202697,5056,52430573,560.438,random,float32
2,822.012550,62077,52430573,1368.795,random,float32
2,828.771396,6574,52430573,407.720,random,float32
2,837.724581,38236,52430573,603.524,random,float32
2,846.993751,46354,52430573,575.409,random,float32
2,855.557305,5753,52430573,438.060,random,float32
2,864.857359,28022,52430573,1595.236,random,float32
2,876.672604,58712,52430573,1797.536,random,float32
2,889.534419,61420,52430573,789.148,random,float32
2,896.817315,27938,52430573,764.879,random,float32
3,308.511773,35908,52430573,884.334,random,float32
3,324.110924,56511,52430573,1876.386,random,float32
3,335.334698,65179,52430573,827.126,random,float32
3,353.449362,29724,52430573,1810.596,random,float32
3,367.415819,65437,52430573,2369.182,random,float32
3,379.996860,54255,52430573,731.057,random,float32
3,390.283990,31869,52430573,596.988,random,float32
3,401.195702,54551,52430573,1474.145,random,float32
3,412.047522,30440,52430573,843.666,random,float32
3,422.963692,33672,52430573,864.800,random,float32
3,436.498829,64233,52430573,2281.442,random,float32
3,453.068225,51045,52430573,3196.597,random,float32
3,468.357749,60138,52430573,948.762,random,float32
3,482.045219,21722,52430573,1165.890,random,float32
3,494.772987,6214,52430573,1849.767,random,float32
3,502.854436,35119,52430573,842.171,random,float32
3,509.584801,28955,52430573,509.043,random,float32
3,519.752441,32161,52430573,658.813,random,float32
3,535.998197,18698,52430573,1035.150,random,float32
3,550.966170,61539,52430573,2621.687,random,float32
3,561.289302,18265,52430573,528.279,random,float32
3,573.238301,32063,52430573,592.397,random,float32
