slide_id,elapsed_seconds,error
normal_004,0.036132,
normal_005,0.036320,
normal_006,0.036782,
normal_003,0.037934,
normal_001,0.038591,
normal_007,0.037889,
normal_002,0.038999,
normal_008,0.038645,
normal_009,0.033160,
normal_010,0.034504,
normal_012,0.033981,
normal_015,0.033171,
normal_013,0.034451,
normal_011,0.035802,
normal_014,0.034966,
normal_016,0.034570,
normal_019,0.032118,
normal_021,0.031805,
normal_017,0.035331,
normal_018,0.034026,
normal_020,0.033262,
normal_023,0.032351,
normal_022,0.033085,
normal_024,0.034660,
normal_027,0.031944,
normal_028,0.031996,
normal_029,0.032046,
normal_030,0.032051,
normal_026,0.033622,
normal_025,0.034459,
normal_031,0.034150,
normal_032,0.033475,
normal_038,0.031456,
normal_033,0.033405,
normal_034,0.033378,
normal_035,0.033347,
normal_036,0.033337,
normal_037,0.033362,
normal_039,0.034264,
normal_040,0.034236,
normal_046,0.030083,
normal_042,0.031995,
normal_043,0.032097,
normal_041,0.032929,
normal_045,0.032067,
normal_044,0.034040,
normal_047,0.032237,
normal_048,0.031992,
normal_049,0.032997,
normal_050,0.033177,
normal_052,0.033279,
normal_053,0.033249,
normal_051,0.034246,
normal_054,0.034119,
normal_055,0.033318,
normal_056,0.034133,
normal_059,0.030895,
normal_058,0.032630,
normal_060,0.031996,
normal_061,0.031858,
normal_057,0.034409,
normal_063,0.031386,
normal_062,0.033059,
normal_064,0.033020,
normal_065,0.031993,
normal_069,0.030882,
normal_067,0.032523,
normal_068,0.033141,
normal_066,0.034229,
normal_071,0.032375,
normal_070,0.035285,
normal_072,0.034345,
normal_073,0.033379,
normal_074,0.035077,
normal_075,0.034331,
normal_077,0.033308,
normal_076,0.034027,
normal_078,0.035430,
normal_079,0.033673,
normal_080,0.033943,
normal_081,0.033789,
normal_083,0.031431,
normal_084,0.031423,
normal_085,0.031953,
normal_082,0.033256,
normal_087,0.033098,
normal_088,0.033121,
normal_089,0.032141,
normal_093,0.030771,
normal_090,0.033766,
normal_092,0.033304,
normal_094,0.033012,
normal_091,0.036931,
normal_095,0.033054,
normal_097,0.031235,
normal_096,0.034006,
normal_101,0.019330,
normal_102,0.018394,
normal_103,0.016277,
normal_104,0.019411,
normal_105,0.019143,
normal_098,0.031117,
normal_100,0.030440,
normal_099,0.031109,
normal_108,0.011910,
normal_106,0.016337,
normal_107,0.019409,
normal_110,0.017049,
normal_109,0.017791,
normal_111,0.018237,
normal_112,0.017484,
normal_113,0.018679,
normal_115,0.015444,
normal_116,0.015914,
normal_114,0.023451,
normal_118,0.016821,
normal_117,0.017674,
normal_119,0.016446,
normal_120,0.016866,
normal_122,0.015821,
normal_121,0.020397,
normal_123,0.015349,
normal_124,0.018618,
normal_126,0.016729,
normal_125,0.018686,
normal_127,0.017671,
normal_128,0.018612,
normal_130,0.016763,
normal_129,0.018925,
normal_131,0.017790,
normal_132,0.017482,
normal_133,0.018504,
normal_135,0.017440,
normal_134,0.020283,
normal_136,0.016686,
normal_138,0.018023,
normal_137,0.019757,
normal_139,0.019511,
normal_140,0.016612,
normal_141,0.014640,
normal_143,0.019390,
normal_144,0.019132,
normal_142,0.020359,
normal_146,0.019443,
normal_148,0.017112,
normal_147,0.019914,
normal_145,0.025085,
normal_149,0.019429,
normal_150,0.013031,
normal_152,0.015166,
normal_151,0.019517,
normal_153,0.015850,
normal_154,0.017132,
normal_155,0.016438,
normal_157,0.016033,
normal_156,0.016804,
normal_158,0.019098,
normal_159,0.017954,
test_001,0.015665,
normal_160,0.020519,
test_004,0.019504,
test_008,0.020119,
test_005,0.032024,
test_002,0.034760,
test_003,0.034856,
test_007,0.040004,
test_006,0.041881,
test_012,0.014743,
test_009,0.035704,
test_014,0.018752,
test_013,0.027963,
test_018,0.014187,
test_016,0.016632,
test_011,0.033586,
test_019,0.020268,
test_010,0.057387,
test_015,0.032891,
test_022,0.017227,
test_020,0.030489,
test_017,0.047402,
test_021,0.033606,
test_023,0.032438,
test_026,0.018940,
test_024,0.029530,
test_025,0.029719,
test_028,0.017118,
test_031,0.016024,
test_027,0.036477,
test_033,0.019163,
test_034,0.018463,
test_029,0.030810,
test_030,0.029467,
test_032,0.035415,
test_037,0.020330,
test_035,0.029742,
test_041,0.016971,
test_036,0.033105,
test_044,0.015289,
test_038,0.031708,
test_042,0.021150,
test_039,0.030614,
test_040,0.030647,
test_046,0.015197,
test_047,0.017157,
test_048,0.017806,
test_043,0.035297,
test_045,0.031144,
test_055,0.014423,
test_051,0.030917,
test_052,0.031559,
test_050,0.038475,
test_053,0.037841,
test_054,0.030833,
test_058,0.015489,
test_057,0.029576,
test_056,0.035941,
test_062,0.014865,
test_063,0.014264,
test_060,0.028887,
test_065,0.013058,
test_059,0.035339,
test_061,0.031163,
test_066,0.017443,
test_064,0.029699,
test_071,0.021345,
test_069,0.027177,
test_073,0.017849,
test_067,0.032218,
test_068,0.032358,
test_072,0.030349,
test_077,0.014778,
test_074,0.031283,
test_078,0.016731,
test_079,0.015216,
test_070,0.055460,
test_080,0.017970,
test_075,0.030787,
test_084,0.015712,
test_086,0.014668,
test_076,0.044313,
test_081,0.029287,
test_082,0.032871,
test_083,0.033180,
test_085,0.030507,
test_089,0.015946,
test_087,0.030726,
test_088,0.030980,
test_092,0.016985,
test_091,0.029635,
test_095,0.015231,
test_094,0.017031,
test_090,0.032207,
test_093,0.031643,
test_098,0.020140,
test_099,0.015655,
test_096,0.029128,
test_101,0.016278,
test_102,0.017558,
test_097,0.031655,
test_105,0.017794,
test_100,0.033741,
test_109,0.016687,
test_103,0.030840,
test_106,0.029505,
test_107,0.029662,
test_110,0.014774,
test_104,0.033693,
test_108,0.030476,
test_113,0.017420,
test_114,0.018448,
test_111,0.030551,
test_112,0.030458,
test_116,0.027947,
test_115,0.029970,
test_118,0.030992,
test_117,0.032851,
test_122,0.015506,
test_119,0.028588,
test_120,0.027306,
test_121,0.029233,
test_125,0.016604,
test_128,0.013613,
test_127,0.017898,
test_123,0.029389,
test_124,0.030436,
test_126,0.033966,
test_129,0.031327,
test_130,0.032195,
tumor_001,0.035348,
tumor_002,0.033535,
tumor_003,0.034177,
tumor_004,0.034941,
tumor_005,0.033608,
tumor_006,0.038148,
tumor_007,0.034366,
tumor_008,0.032028,
tumor_010,0.029757,
tumor_009,0.031054,
tumor_012,0.029960,
tumor_011,0.032309,
tumor_013,0.030287,
tumor_014,0.033687,
tumor_016,0.030779,
tumor_015,0.034635,
tumor_018,0.031710,
tumor_017,0.033912,
tumor_019,0.029614,
tumor_020,0.031216,
tumor_021,0.031198,
tumor_022,0.034847,
tumor_023,0.032940,
tumor_024,0.033291,
tumor_025,0.031701,
tumor_026,0.031999,
tumor_027,0.030683,
tumor_028,0.029898,
tumor_029,0.033564,
tumor_031,0.030789,
tumor_030,0.034513,
tumor_032,0.032507,
tumor_034,0.029390,
tumor_033,0.031656,
tumor_035,0.029778,
tumor_036,0.030871,
tumor_037,0.030317,
tumor_038,0.030795,
tumor_042,0.030381,
tumor_041,0.031063,
tumor_040,0.033369,
tumor_039,0.034575,
tumor_043,0.031467,
tumor_044,0.030535,
tumor_045,0.030602,
tumor_046,0.033392,
tumor_049,0.031252,
tumor_047,0.032729,
tumor_051,0.030521,
tumor_048,0.032983,
tumor_050,0.032147,
tumor_052,0.032877,
tumor_053,0.033772,
tumor_054,0.032942,
tumor_058,0.029909,
tumor_059,0.030210,
tumor_056,0.031695,
tumor_057,0.031714,
tumor_055,0.033326,
tumor_060,0.033901,
tumor_061,0.029854,
tumor_062,0.033107,
tumor_063,0.031631,
tumor_064,0.032009,
tumor_065,0.032066,
tumor_067,0.031385,
tumor_066,0.032594,
tumor_069,0.030804,
tumor_068,0.032634,
tumor_075,0.016364,
tumor_071,0.019452,
tumor_072,0.018592,
tumor_073,0.018490,
tumor_074,0.018245,
tumor_076,0.017961,
tumor_077,0.019550,
tumor_070,0.030420,
tumor_078,0.016648,
tumor_079,0.017746,
