slide_id,n_tiles,elapsed_seconds,output_bytes,error
normal_045,388,0.906954,6068784,
normal_017,361,1.272017,9390936,
normal_016,590,1.352211,12436520,
normal_023,951,2.837107,26174240,
normal_004,1446,3.265036,30911432,
normal_013,1606,4.113121,35248768,
test_025,1940,5.152768,43061416,
normal_014,2244,6.047092,59307064,
tumor_059,3325,7.037477,66796808,
test_057,3335,7.098588,85467720,
test_072,3382,8.311092,63200552,
normal_048,2677,9.077709,69540000,
normal_058,5475,14.425963,168800704,
test_130,6085,15.654023,140508320,
test_036,6460,15.862990,154340816,
test_059,7313,16.833845,205967000,
normal_072,7944,17.606310,185278360,
tumor_045,8534,17.737363,234892048,
tumor_070,6281,18.830490,155329608,
test_122,8413,20.101576,174709160,
tumor_022,8436,21.030477,191444976,
test_018,9790,21.917196,129912896,
tumor_014,10213,24.090092,265149264,
normal_082,9497,24.094423,225943784,
normal_103,11610,24.781390,173256640,
normal_116,10544,24.968847,173170384,
normal_050,9638,25.079456,262188304,
tumor_101,12176,29.019863,246394480,
tumor_040,13020,31.989216,316715064,
normal_053,12937,32.326339,354694112,
tumor_103,14517,33.648068,333354960,
tumor_079,16616,33.892903,221014248,
tumor_021,14783,38.252321,388474096,
normal_080,16112,40.597249,377156928,
normal_113,17490,42.338401,299123128,
normal_142,19529,44.973934,338959424,
test_101,22368,48.348410,374291688,
tumor_072,20837,49.401139,399844616,
normal_112,20049,49.732310,464689448,
normal_127,21136,49.884459,364852600,
normal_121,23756,53.695592,335823224,
test_014,26522,54.238972,456819056,
normal_137,24537,57.233097,402699104,
test_016,24486,57.552299,391520760,
tumor_086,26173,60.699717,450110848,
normal_144,10386,61.031962,184619872,
tumor_015,23537,62.729235,653027624,
tumor_090,27997,62.794875,366879904,
normal_114,27795,70.462514,648774920,
tumor_092,36105,80.012307,463908592,
