step_idx,phase,t_step_start_s,t_step_end_s,step_duration_ms,t_dataload_ms,t_forward_ms,t_backward_ms,t_optimizer_ms,samples_per_step_per_rank,world_size,loss
0,ramp,0.000013,12.911016,12911.003,590.199,1604.872,10679.739,35.976,256,1,0.385065
1,ramp,12.911154,13.619245,708.091,477.842,88.708,141.180,0.295,256,1,5.128970
2,ramp,13.619302,14.302954,683.652,453.577,88.633,141.093,0.291,256,1,13.772980
3,ramp,14.303013,15.112799,809.786,579.756,88.639,141.040,0.292,256,1,7.536683
4,ramp,15.112854,15.733099,620.244,383.342,88.570,141.106,7.194,256,1,4.804751
5,ramp,15.733157,16.175352,442.195,209.923,88.571,141.161,2.509,256,1,5.097457
6,ramp,16.175409,16.872439,697.029,464.945,88.547,141.132,2.370,256,1,4.534171
7,ramp,16.872506,17.346897,474.391,242.250,88.599,141.150,2.360,256,1,4.343712
8,ramp,17.346955,17.904250,557.295,325.378,88.438,141.090,2.359,256,1,2.364907
9,ramp,17.904302,18.370944,466.642,234.479,88.561,141.193,2.380,256,1,7.118988
10,ramp,18.371000,18.834895,463.894,231.721,88.416,141.224,2.503,256,1,11.676624
11,ramp,18.834950,19.240055,405.105,173.021,88.504,141.086,2.463,256,1,7.365694
12,ramp,19.240108,19.691147,451.039,218.888,88.591,141.076,2.452,256,1,6.553173
13,ramp,19.691200,20.259932,568.732,336.391,88.712,141.122,2.473,256,1,5.169322
14,ramp,20.259989,20.972911,712.921,480.867,88.518,141.013,2.491,256,1,1.788954
15,ramp,20.972966,21.389726,416.760,184.572,88.580,141.073,2.506,256,1,0.369834
16,ramp,21.389781,21.836097,446.316,213.995,88.568,141.191,2.529,256,1,4.132492
17,ramp,21.836159,22.246345,410.186,178.005,88.598,141.070,2.478,256,1,5.681518
18,ramp,22.246402,22.796228,549.826,317.915,88.492,140.886,2.500,256,1,0.101434
19,ramp,22.796285,23.209848,413.563,181.303,88.715,141.037,2.477,256,1,2.931492
20,ramp,23.209902,23.756381,546.479,314.381,88.635,141.064,2.367,256,1,2.716124
21,ramp,23.756435,24.272606,516.171,284.137,88.554,140.974,2.473,256,1,2.841170
22,ramp,24.272661,24.683579,410.918,178.775,88.551,141.081,2.479,256,1,4.875445
23,ramp,24.683635,25.093667,410.032,178.005,88.450,141.088,2.460,256,1,1.783879
24,ramp,25.093723,25.500969,407.247,175.312,88.474,140.899,2.533,256,1,3.108802
25,ramp,25.501025,26.114576,613.551,381.607,88.412,140.985,2.514,256,1,1.300525
26,ramp,26.114630,26.517607,402.977,170.795,88.552,141.028,2.571,256,1,1.544741
27,ramp,26.517662,27.004473,486.810,254.895,88.479,140.908,2.499,256,1,1.773643
28,ramp,27.004529,27.409487,404.958,172.871,88.550,141.017,2.489,256,1,1.317054
29,ramp,27.409541,27.866226,456.685,224.599,88.575,140.963,2.517,256,1,1.286128
30,ramp,27.866283,28.315351,449.068,216.997,88.577,140.974,2.487,256,1,1.149493
31,ramp,28.315404,28.781072,465.667,233.640,88.528,141.117,2.352,256,1,2.734933
32,ramp,28.781127,29.186463,405.335,173.077,88.661,141.064,2.502,256,1,2.324602
33,ramp,29.186518,29.585542,399.023,166.818,88.521,141.154,2.499,256,1,8.830060
34,ramp,29.585598,29.990903,405.305,173.050,88.572,141.179,2.472,256,1,2.401383
35,ramp,29.990959,30.387585,396.626,164.644,88.511,140.959,2.483,256,1,0.596722
36,ramp,30.387640,30.799693,412.053,179.912,88.630,140.972,2.509,256,1,0.679930
37,ramp,30.799747,31.200860,401.113,169.032,88.571,141.017,2.463,256,1,0.686591
38,ramp,31.200914,31.595912,394.998,162.822,88.664,140.997,2.484,256,1,3.324440
39,ramp,31.595967,31.993927,397.960,165.898,88.465,141.063,2.502,256,1,1.793518
40,ramp,31.993983,32.464565,470.581,238.552,88.483,141.029,2.486,256,1,1.054304
41,ramp,32.464621,32.878238,413.617,181.666,88.541,140.889,2.488,256,1,1.323675
42,ramp,32.878294,33.274431,396.137,164.161,88.459,140.994,2.493,256,1,0.705762
43,ramp,33.274486,33.669686,395.200,163.372,88.419,141.011,2.368,256,1,1.244702
44,ramp,33.669738,34.069443,399.705,167.665,88.470,141.009,2.530,256,1,1.618638
45,ramp,34.069501,34.478847,409.346,177.166,88.716,140.929,2.503,256,1,3.402557
46,ramp,34.478902,34.884138,405.236,173.290,88.513,140.931,2.473,256,1,1.379210
47,ramp,34.884193,35.289865,405.672,173.801,88.560,140.793,2.488,256,1,0.677220
48,ramp,35.289919,35.693083,403.163,171.178,88.493,140.966,2.495,256,1,1.581434
49,ramp,35.693137,36.099576,406.438,174.343,88.654,140.881,2.529,256,1,0.567916
50,ramp,36.099633,36.489725,390.093,158.108,88.614,140.851,2.489,256,1,0.714091
51,ramp,36.490099,36.884169,394.070,161.965,88.550,141.016,2.505,256,1,0.714150
52,ramp,36.884228,37.284950,400.722,168.556,88.474,141.169,2.493,256,1,4.082606
53,ramp,37.285004,37.690268,405.265,173.317,88.548,140.897,2.473,256,1,0.776042
54,ramp,37.690323,38.096004,405.682,173.599,88.568,140.963,2.521,256,1,1.301348
55,ramp,38.096062,38.502973,406.911,174.930,88.485,140.981,2.485,256,1,1.952363
56,ramp,38.503028,38.911161,408.133,176.138,88.513,140.967,2.485,256,1,0.704418
57,ramp,38.911217,39.307776,396.559,164.502,88.626,140.914,2.487,256,1,0.682520
58,ramp,39.307831,39.704402,396.571,164.647,88.566,140.828,2.491,256,1,0.622347
59,ramp,39.704457,40.106319,401.862,169.816,88.508,141.004,2.502,256,1,1.530854
60,ramp,40.106373,40.509263,402.890,171.001,88.518,140.888,2.451,256,1,0.705321
61,ramp,40.509317,40.903898,394.581,162.529,88.613,140.908,2.501,256,1,0.783452
62,ramp,40.903953,41.305203,401.250,169.224,88.563,140.931,2.501,256,1,0.548009
63,ramp,41.305257,41.709867,404.609,172.509,88.585,140.995,2.490,256,1,0.908412
64,ramp,41.709920,42.117122,407.201,175.025,88.565,141.055,2.526,256,1,1.284513
65,ramp,42.117179,42.517688,400.509,168.239,88.571,141.153,2.516,256,1,1.128343
66,ramp,42.517742,42.910668,392.926,160.773,88.627,141.007,2.490,256,1,0.909852
67,ramp,42.910723,43.309717,398.994,167.001,88.613,140.859,2.492,256,1,0.665270
68,ramp,43.309776,43.722777,413.001,180.994,88.505,140.976,2.487,256,1,0.760557
69,ramp,43.722831,44.128934,406.103,173.963,88.644,140.962,2.507,256,1,1.107134
70,ramp,44.128987,44.524743,395.756,163.777,88.565,140.889,2.495,256,1,0.864145
71,ramp,44.524796,44.926688,401.892,170.003,88.525,140.884,2.454,256,1,0.741678
72,ramp,44.926739,45.319854,393.115,161.153,88.615,140.844,2.476,256,1,1.272235
73,ramp,45.319909,45.760114,440.205,208.187,88.677,140.945,2.369,256,1,0.996271
74,ramp,45.760169,46.153188,393.018,161.279,88.380,140.839,2.493,256,1,0.908413
75,ramp,46.153242,46.554708,401.466,169.619,88.519,140.784,2.517,256,1,0.740231
76,ramp,46.554764,46.950213,395.449,163.458,88.495,140.996,2.474,256,1,0.759189
77,ramp,46.950265,47.353009,402.744,170.729,88.476,141.037,2.476,256,1,1.054307
78,ramp,47.353066,47.758430,405.364,173.474,88.551,140.809,2.502,256,1,0.867884
79,ramp,47.758484,48.153490,395.005,163.131,88.538,140.828,2.482,256,1,0.813301
80,ramp,48.153542,48.555414,401.872,169.915,88.500,140.953,2.477,256,1,0.698135
81,ramp,48.555469,48.942799,387.329,155.249,88.547,140.999,2.484,256,1,0.729545
82,ramp,48.942853,49.343582,400.729,168.635,88.614,140.985,2.464,256,1,0.560357
83,ramp,49.343636,49.743334,399.698,167.674,88.597,140.905,2.492,256,1,0.677726
84,ramp,49.743389,50.138835,395.446,163.434,88.500,141.007,2.475,256,1,0.483229
85,ramp,50.138888,50.539801,400.913,168.930,88.563,140.884,2.506,256,1,0.439196
86,ramp,50.539863,50.936150,396.287,164.173,88.613,141.004,2.465,256,1,1.442088
87,ramp,50.936203,51.344003,407.800,175.796,88.539,140.950,2.483,256,1,0.384958
88,ramp,51.344059,51.741332,397.273,165.329,88.463,140.935,2.514,256,1,1.606906
89,ramp,51.741390,52.136478,395.088,162.961,88.633,140.952,2.510,256,1,0.549792
90,ramp,52.136534,52.535189,398.655,166.672,88.618,140.876,2.458,256,1,0.563458
