step_idx,phase,t_step_start_s,t_step_end_s,step_duration_ms,t_dataload_ms,t_forward_ms,t_backward_ms,t_optimizer_ms,samples_per_step,num_workers,loss,n_tiles_in_step
64,ramp,4.294737,4.306955,12.218,9.627,1.533,1.111,0.353,1,16,0.850098,20324
65,ramp,4.307192,4.309715,2.523,1.333,0.153,0.332,0.878,1,16,0.764160,2714
66,ramp,4.309964,4.359898,49.934,8.465,1.395,0.969,39.243,1,16,0.702637,18182
67,ramp,4.360359,4.370488,10.129,7.949,1.242,0.893,0.401,1,16,0.650879,16840
68,ramp,4.370754,4.385337,14.583,11.170,1.788,1.355,0.466,1,16,0.557617,24092
69,ramp,4.385581,4.392690,7.109,5.541,0.784,0.594,0.366,1,16,0.496338,11796
70,ramp,4.392924,4.417064,24.141,2.112,0.185,20.830,1.182,1,16,0.586914,4279
71,ramp,4.417295,4.425237,7.942,6.142,0.944,0.670,0.348,1,16,0.579102,13144
72,ramp,4.425483,4.443796,18.313,6.269,0.968,10.321,0.937,1,16,0.508789,13380
73,ramp,4.444088,4.447208,3.119,2.571,0.222,0.221,0.329,1,16,0.598633,5176
74,ramp,4.447435,4.449362,1.927,1.262,0.125,0.251,0.453,1,16,0.469482,2429
75,ramp,4.532973,4.542902,9.929,90.947,1.227,0.878,0.422,1,16,0.460938,16620
76,ramp,4.543149,4.569332,26.183,4.152,0.578,0.430,21.159,1,16,0.829102,8746
77,ramp,4.569840,4.576162,6.322,5.106,0.702,0.537,0.370,1,16,0.458984,10550
78,ramp,4.648022,4.660280,12.257,81.006,1.554,1.126,0.361,1,16,0.414551,20492
79,ramp,4.660576,4.684495,23.919,6.136,0.951,0.681,16.346,1,16,0.606934,13227
80,ramp,4.684889,4.688520,3.632,3.024,0.324,0.257,0.344,1,16,0.890137,6087
81,ramp,4.730876,4.741519,10.644,50.304,1.302,0.933,0.377,1,16,0.397949,17669
82,ramp,4.741766,4.747927,6.161,4.808,0.685,0.509,0.338,1,16,0.901855,10183
83,ramp,4.748163,4.780685,32.521,6.433,0.991,0.724,24.444,1,16,0.531250,13758
84,ramp,4.781052,4.793762,12.710,8.383,1.326,0.970,2.273,1,16,1.151367,18072
85,ramp,4.877104,4.887293,10.189,90.873,1.246,0.889,0.432,1,16,1.040039,16891
86,ramp,4.887691,4.909693,22.001,1.262,18.835,1.544,0.683,1,16,0.710449,2199
87,ramp,4.955727,4.964763,9.036,52.737,1.107,0.778,0.362,1,16,0.459473,14911
88,ramp,4.965001,4.992400,27.399,4.436,0.625,0.466,21.961,1,16,0.480713,9377
89,ramp,4.993009,4.995092,2.083,1.327,0.127,0.602,0.478,1,16,0.684082,2024
90,ramp,4.995362,5.001948,6.586,5.146,0.734,0.554,0.354,1,16,0.434326,10870
91,ramp,5.002180,5.005259,3.079,2.438,0.239,0.217,0.352,1,16,0.533203,5010
92,ramp,5.005483,5.031468,25.985,6.200,0.970,17.955,1.018,1,16,0.969238,13375
93,ramp,5.031734,5.040170,8.435,6.534,1.014,0.719,0.365,1,16,0.408936,13919
94,ramp,5.040422,5.042859,2.437,1.921,0.194,0.176,0.332,1,16,0.704590,3841
95,ramp,5.066039,5.073820,7.781,28.895,0.912,0.648,0.439,1,16,1.182617,12718
96,ramp,5.101684,5.107987,6.302,32.504,0.702,0.523,0.367,1,16,0.957520,10477
97,ramp,5.128353,5.138162,9.809,24.346,0.615,0.457,4.678,1,16,0.817871,9195
