slide_idx,slide_id,format,bytes_written,t_write_start_s,t_write_end_s,write_ms
39,TCGA-D8-A1XT-01Z-00-DX1.9E4DEEEB-AB0A-45F6-A69B-65B3E6F22D46,tiff_l0,84002876,2938.194713,3027.039538,88844.825
40,TCGA-D8-A1XV-01Z-00-DX2.D1988E01-5FDC-4F50-8183-F0CCE74D0CB2,tiff_l0,56138020,3068.862236,3108.303384,39441.148
41,TCGA-E2-A15E-06Z-00-DX1.D394A007-91A2-4445-9B4A-1629EE684A51,tiff_l0,84071569,3168.167419,3235.444262,67276.842
42,TCGA-E2-A15J-01Z-00-DX1.BF7901D1-30B1-4A76-B0A5-E9B8B36EF4C9,tiff_l0,75832289,3290.722399,3343.639456,52917.057
43,TCGA-E2-A15K-01Z-00-DX1.9F424BE2-9BFE-4DFF-8CC9-10D2DADBBEA7,tiff_l0,32203718,3364.755751,3399.449092,34693.340
44,TCGA-E9-A1N8-01Z-00-DX1.1243AB1C-75A3-4A5E-9674-53992E6DD377,tiff_l0,54771950,3441.893623,3479.643275,37749.651
45,TCGA-E9-A1RD-01Z-00-DX1.34083668-cbd2-4610-b857-d50ee9f3e5bd,tiff_l0,37885835,3511.754229,3537.931997,26177.767
46,TCGA-GM-A2DN-01Z-00-DX1.593003B0-BA87-486B-B472-D6B85867D54D,tiff_l0,55131982,3576.509093,3619.032735,42523.641
47,TCGA-PE-A5DC-01Z-00-DX1.8E6953AD-C14A-43F5-B062-E31AB13C7BDF,tiff_l0,30053388,3642.079017,3665.377683,23298.666
48,TCGA-S3-AA12-01Z-00-DX1.2A991B9F-E7E6-410B-B0BF-635E3CC40C7E,tiff_l0,86300003,3737.748911,3791.459316,53710.405
49,TCGA-Z7-A8R6-01Z-00-DX1.CE4ED818-D762-4324-9DEA-2ACB38B9B0B9,tiff_l0,78309455,3852.587613,3902.802031,50214.417
