step_idx,phase,t_step_start_s,t_step_end_s,step_duration_ms,t_dataload_ms,t_forward_ms,t_backward_ms,t_optimizer_ms,samples_per_step_per_rank,world_size,loss
69,ramp,42.718291,43.175133,456.842,202.908,90.440,161.054,2.410,256,4,1.133737
70,ramp,43.175186,43.612223,437.037,174.655,90.551,169.341,2.458,256,4,0.689960
71,ramp,43.612276,44.047066,434.790,180.520,90.605,161.200,2.433,256,4,0.937258
72,ramp,44.047121,44.477988,430.867,163.016,90.342,175.057,2.421,256,4,0.599375
73,ramp,44.478040,44.918394,440.353,167.648,90.684,179.643,2.348,256,4,0.872391
74,ramp,44.918445,45.366390,447.945,169.455,90.622,185.370,2.468,256,4,1.266339
75,ramp,45.366446,45.803740,437.294,176.545,90.583,167.679,2.457,256,4,0.937627
76,ramp,45.803796,46.243023,439.226,167.230,90.546,178.746,2.670,256,4,0.747416
77,ramp,46.243087,46.685558,442.470,188.334,90.751,160.923,2.431,256,4,0.640759
78,ramp,46.685610,47.119300,433.691,179.147,90.637,161.409,2.466,256,4,0.557390
79,ramp,47.119355,47.557853,438.498,171.606,90.552,173.879,2.430,256,4,0.963660
80,ramp,47.557906,47.998049,440.143,182.287,90.497,164.897,2.432,256,4,0.546419
81,ramp,47.998102,48.436868,438.765,171.449,90.551,173.865,2.868,256,4,0.748722
82,ramp,48.436942,48.869358,432.417,175.242,90.625,164.095,2.424,256,4,0.570492
83,ramp,48.869410,49.306947,437.537,183.325,90.553,160.855,2.773,256,4,0.680920
84,ramp,49.307028,49.741619,434.592,178.847,90.705,162.678,2.330,256,4,0.723415
85,ramp,49.741672,50.171513,429.841,169.566,90.558,167.211,2.474,256,4,0.749454
86,ramp,50.171569,50.606440,434.870,175.846,91.475,165.085,2.433,256,4,0.687019
87,ramp,50.606493,51.040317,433.824,179.314,90.659,161.388,2.433,256,4,0.539356
88,ramp,51.040368,51.471153,430.786,176.746,90.543,161.043,2.422,256,4,1.055854
89,ramp,51.471206,51.904270,433.063,178.682,90.614,161.287,2.448,256,4,0.543549
90,ramp,51.904322,52.339836,435.513,177.968,90.544,164.537,2.433,256,4,0.559443
91,ramp,52.339890,52.781329,441.439,181.482,90.656,166.846,2.424,256,4,0.573837
92,ramp,52.781384,53.219103,437.719,171.721,90.480,173.080,2.407,256,4,0.858283
93,ramp,53.219157,53.652857,433.699,175.859,90.750,164.615,2.444,256,4,0.626393
94,ramp,53.652910,54.086690,433.780,175.699,90.489,165.135,2.420,256,4,0.794149
95,ramp,54.086744,54.519919,433.175,170.582,90.480,169.644,2.436,256,4,1.228521
96,ramp,54.519973,54.954093,434.120,179.598,90.536,161.519,2.436,256,4,0.788696
97,ramp,54.954144,55.385647,431.503,177.155,90.584,161.286,2.448,256,4,0.841684
98,ramp,55.385701,55.825925,440.224,180.239,90.725,166.789,2.440,256,4,0.663335
99,ramp,55.825977,56.260091,434.113,174.519,90.356,166.785,2.424,256,4,0.628325
100,ramp,56.260146,56.692830,432.684,177.662,90.705,161.858,2.429,256,4,0.716272
101,ramp,56.692957,57.127459,434.502,171.070,90.549,170.415,2.433,256,4,1.246876
102,ramp,57.127514,57.566811,439.297,172.647,90.530,173.640,2.448,256,4,0.682098
103,ramp,57.566865,58.002959,436.094,169.395,90.515,173.702,2.449,256,4,0.604968
104,ramp,58.003021,58.438318,435.297,176.820,90.607,165.410,2.430,256,4,0.667713
105,ramp,58.438371,58.869291,430.920,174.639,90.568,163.311,2.371,256,4,0.809699
106,ramp,58.869347,59.309564,440.217,166.771,90.621,180.371,2.422,256,4,0.670407
107,ramp,59.309616,59.742205,432.589,169.750,90.480,169.914,2.416,256,4,0.796144
108,ramp,59.742257,60.188805,446.548,191.884,90.695,161.475,2.465,256,4,0.689644
109,ramp,60.188860,60.619651,430.791,174.457,90.673,163.260,2.371,256,4,0.671561
110,ramp,60.619707,61.050093,430.385,169.395,90.598,167.949,2.412,256,4,0.807779
111,ramp,61.050146,61.481380,431.233,175.938,90.502,162.358,2.406,256,4,0.887226
112,ramp,61.481431,61.920770,439.339,171.135,90.615,175.118,2.442,256,4,0.534026
113,ramp,61.920825,62.363098,442.273,187.717,90.649,161.434,2.443,256,4,1.237084
114,ramp,62.363153,62.797579,434.426,180.041,90.655,161.277,2.422,256,4,0.866732
115,ramp,62.797633,63.235156,437.523,166.566,90.661,177.827,2.437,256,4,0.735615
116,ramp,63.235210,63.667967,432.757,178.921,90.582,160.919,2.305,256,4,0.682953
117,ramp,63.668020,64.100668,432.648,178.489,90.593,161.210,2.326,256,4,0.692518
118,ramp,64.100720,64.532025,431.305,167.263,90.485,171.205,2.324,256,4,0.649887
119,ramp,64.532078,64.967341,435.263,180.064,90.468,162.255,2.443,256,4,0.710381
120,ramp,64.967396,65.418890,451.494,196.219,90.800,162.012,2.430,256,4,0.718012
121,ramp,65.418943,65.855370,436.426,175.635,90.588,167.871,2.302,256,4,0.647002
122,ramp,65.855422,66.292853,437.431,183.212,90.612,161.111,2.466,256,4,0.674036
123,ramp,66.292905,66.727644,434.738,180.792,90.543,161.077,2.296,256,4,1.000660
124,ramp,66.727697,67.154124,426.426,168.509,90.590,164.954,2.341,256,4,0.768032
125,ramp,67.154179,67.583084,428.905,172.672,90.379,163.390,2.433,256,4,0.966612
126,ramp,67.583140,68.019656,436.516,182.601,90.427,161.055,2.401,256,4,0.631816
127,ramp,68.019710,68.455064,435.354,181.236,90.643,161.033,2.409,256,4,0.824108
128,ramp,68.455118,68.887001,431.883,174.594,90.682,164.162,2.414,256,4,0.633886
129,ramp,68.887056,69.315423,428.367,172.534,90.548,162.793,2.458,256,4,0.727098
130,ramp,69.315480,69.751770,436.290,172.833,90.549,170.438,2.438,256,4,0.668671
131,ramp,69.751825,70.181386,429.561,174.280,90.714,162.116,2.420,256,4,0.730418
132,ramp,70.181439,70.623166,441.727,179.349,90.539,169.392,2.417,256,4,0.654371
133,ramp,70.623220,71.067530,444.310,188.133,90.772,162.949,2.424,256,4,0.632851
134,ramp,71.067586,71.507931,440.346,186.103,90.626,161.161,2.424,256,4,0.718703
135,ramp,71.507985,71.957615,449.629,194.091,90.659,162.439,2.410,256,4,0.665837
136,ramp,71.957668,72.387478,429.809,175.062,90.505,161.786,2.425,256,4,0.666242
137,ramp,72.387531,72.831650,444.120,172.662,90.619,178.341,2.466,256,4,0.760241
138,ramp,72.831706,73.269406,437.700,182.888,90.525,161.842,2.413,256,4,0.688032
139,ramp,73.269463,73.706850,437.387,175.555,90.757,168.598,2.443,256,4,0.645985
140,ramp,73.706906,74.146252,439.346,167.695,90.503,178.688,2.427,256,4,0.727538
141,ramp,74.146305,74.591989,445.683,191.428,90.648,161.183,2.394,256,4,0.733727
142,ramp,74.592042,75.028544,436.502,181.868,90.592,161.583,2.428,256,4,0.688170
143,ramp,75.028596,75.464121,435.525,179.427,90.679,162.956,2.432,256,4,0.587258
144,ramp,75.464174,75.898726,434.553,179.741,90.537,161.826,2.419,256,4,0.684307
145,ramp,75.898779,76.329370,430.591,172.576,90.493,165.042,2.449,256,4,0.685853
146,ramp,76.329423,76.759269,429.846,175.744,90.584,161.051,2.436,256,4,0.598719
147,ramp,76.759322,77.191253,431.931,174.592,90.600,164.278,2.428,256,4,0.811529
148,ramp,77.191307,77.631781,440.474,180.589,90.545,166.952,2.357,256,4,0.758486
149,ramp,77.631837,78.073544,441.707,169.338,90.662,179.218,2.458,256,4,0.685691
150,ramp,78.073599,78.515846,442.247,188.100,90.485,161.212,2.419,256,4,0.652374
151,ramp,78.516362,78.952887,436.526,181.356,90.601,162.090,2.441,256,4,0.629805
152,ramp,78.952939,79.384239,431.300,171.459,90.545,166.833,2.432,256,4,0.629830
153,ramp,79.384294,79.813567,429.273,170.059,90.526,166.238,2.420,256,4,0.650981
154,ramp,79.813621,80.267941,454.320,195.705,90.554,165.622,2.409,256,4,0.906676
155,ramp,80.267994,80.707935,439.940,179.855,90.640,166.973,2.440,256,4,0.656928
156,ramp,80.707990,81.143478,435.488,171.685,90.459,171.005,2.309,256,4,0.768404
157,ramp,81.143531,81.576614,433.083,175.733,90.590,164.292,2.436,256,4,0.764834
158,ramp,81.576684,82.020302,443.618,179.690,90.594,170.903,2.398,256,4,0.866752
159,ramp,82.020355,82.458127,437.772,183.309,90.494,161.115,2.822,256,4,0.872901
160,ramp,82.458202,82.897734,439.533,166.526,90.582,179.626,2.767,256,4,0.685057
161,ramp,82.897799,83.329232,431.433,176.569,90.545,161.806,2.482,256,4,0.601838
162,ramp,83.329285,83.760562,431.277,173.878,90.451,164.499,2.418,256,4,0.625985
163,ramp,83.760617,84.195463,434.846,178.609,90.629,163.246,2.331,256,4,0.928357
164,ramp,84.195518,84.622652,427.135,172.215,90.428,162.043,2.417,256,4,0.531656
165,ramp,84.622706,85.056679,433.974,176.133,90.590,164.762,2.457,256,4,1.129793
166,ramp,85.056734,85.495922,439.188,184.819,90.634,161.296,2.407,256,4,1.273184
167,ramp,85.495977,85.928235,432.257,171.061,90.733,167.843,2.590,256,4,0.674118
168,ramp,85.928300,86.363862,435.561,181.176,90.549,161.471,2.330,256,4,0.679896
