slide_idx,slide_id,format,bytes_written,t_write_start_s,t_write_end_s,write_ms
0,TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,tiff5x,8232764,50.349555,52.519196,2169.639
1,TCGA-3C-AALI-01Z-00-DX2.CF4496E0-AB52-4F3E-BDF5-C34833B91B7C,tiff5x,10637279,126.827945,129.340840,2512.895
2,TCGA-3C-AALJ-01Z-00-DX1.777C0957-255A-42F0-9EEB-A3606BCF0C96,tiff5x,11793031,211.917874,214.094539,2176.664
3,TCGA-3C-AALJ-01Z-00-DX2.62DFE56B-B84C-40F9-9625-FCB55767B70D,tiff5x,10775426,279.816897,282.068643,2251.745
4,TCGA-3C-AALK-01Z-00-DX1.4E6EB156-BB19-410F-878F-FC0EA7BD0B53,tiff5x,8363332,332.806020,334.684814,1878.793
5,TCGA-4H-AAAK-01Z-00-DX1.ABF1B042-1970-4E28-8671-43AAD393D2F9,tiff5x,5852214,370.915747,372.333013,1417.265
6,TCGA-5L-AAT0-01Z-00-DX1.5E171263-30BF-4C6B-88A1-E8EA0522A861,tiff5x,2775072,384.653321,385.479317,825.995
7,TCGA-5L-AAT1-01Z-00-DX1.F3449A5B-2AC4-4ED7-BF44-4C8946CDB47D,tiff5x,3242705,399.474043,401.459490,1985.446
8,TCGA-5T-A9QA-01Z-00-DX1.B4212117-E0A7-4EF2-B324-8396042ACEC1,tiff5x,11851796,486.225123,488.830608,2605.484
9,TCGA-A1-A0SB-01Z-00-DX1.B34C267B-CAAA-4AB6-AD5C-276C26F997A1,tiff5x,5321073,515.719817,517.772758,2052.940
10,TCGA-A1-A0SD-01Z-00-DX1.DB17BFA9-D951-42A8-91D2-F4C2EBC6EB9F,tiff5x,6747544,550.232012,552.438100,2206.087
11,TCGA-A1-A0SE-01Z-00-DX1.04B09232-C6C4-46EF-AA2C-41D078D0A80A,tiff5x,10611560,621.789325,624.061602,2272.276
12,TCGA-A1-A0SF-01Z-00-DX1.7F252D89-EA78-419F-A969-1B7313D77499,tiff5x,7062566,658.977478,660.520029,1542.550
13,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,tiff5x,5860658,694.234825,695.937748,1702.922
14,TCGA-A1-A0SI-01Z-00-DX1.AB717348-F964-4F29-BBE2-972B7C640432,tiff5x,9006397,746.400965,748.607908,2206.942
15,TCGA-A1-A0SJ-01Z-00-DX1.C196FA66-C376-4016-86BC-3D8E745B3A51,tiff5x,5697895,776.702929,778.507001,1804.072
16,TCGA-A1-A0SK-01Z-00-DX1.A44D70FA-4D96-43F4-9DD7-A61535786297,tiff5x,11385337,849.258333,851.955487,2697.154
17,TCGA-A1-A0SM-01Z-00-DX1.AD503DBD-4D93-4476-B467-F091254FDF78,tiff5x,7619021,891.907931,894.062564,2154.633
18,TCGA-A1-A0SN-01Z-00-DX1.5E9B85AE-AFB7-41DC-8A1B-BD6DA39B6540,tiff5x,6120725,926.467437,928.181601,1714.164
19,TCGA-A1-A0SP-01Z-00-DX1.20D689C6-EFA5-4694-BE76-24475A89ACC0,tiff5x,13519708,1012.899674,1015.398630,2498.955
20,TCGA-A1-A0SQ-01Z-00-DX1.36071264-3407-4224-BCBB-2ED00294569A,tiff5x,13771472,1105.151389,1108.014023,2862.634
21,TCGA-A2-A04N-01Z-00-DX1.9E9B7DB0-1CF1-4631-8292-A9DBCA0BD37C,tiff5x,7012030,1144.968040,1147.651231,2683.190
22,TCGA-A2-A04P-01Z-00-DX1.5B481E02-D269-4732-8FDD-6494E6EE2B71,tiff5x,8874719,1192.021343,1194.838507,2817.163
23,TCGA-A2-A04Q-01Z-00-DX1.DF7ED6B6-7701-486D-9007-F26B6F0682C4,tiff5x,2721005,1207.658289,1208.889166,1230.876
24,TCGA-A2-A04R-01Z-00-DX1.BE3661A3-A2A0-4248-B7D5-D8986E529B6C,tiff5x,6787558,1248.115840,1249.532817,1416.977
25,TCGA-A2-A04T-01Z-00-DX1.71444266-BD56-4183-9603-C7AC20C9DA1E,tiff5x,8311939,1289.996019,1292.286820,2290.801
26,TCGA-A2-A04U-01Z-00-DX1.06D17357-46A8-4DC3-A22B-2F4EB6EE3F79,tiff5x,9112429,1337.864225,1340.561170,2696.944
27,TCGA-A2-A04V-01Z-00-DX1.EB430DDB-8FE9-4302-8829-53DBAD09E79F,tiff5x,14054029,1415.935248,1418.778313,2843.064
28,TCGA-A2-A04W-01Z-00-DX1.F7E7B945-2ADC-4741-8FCE-ACEA657DB9C7,tiff5x,11844345,1491.096427,1494.210455,3114.027
29,TCGA-A2-A04X-01Z-00-DX1.E01A4522-67B3-4FEF-BD6B-99DFED9E7C85,tiff5x,7881886,1534.150193,1537.024553,2874.359
30,TCGA-A2-A04Y-01Z-00-DX1.4DC97AD6-4806-4A3A-A998-FD36F93590A4,tiff5x,3631677,1554.191168,1555.180782,989.613
31,TCGA-A2-A0CK-01Z-00-DX1.C3226BD1-11B0-4034-946A-BAB42958CE85,tiff5x,2846282,1569.552335,1570.444172,891.836
32,TCGA-A2-A0CL-01Z-00-DX1.5342E971-DCD2-42C4-B4FF-E6942A95829E,tiff5x,8946083,1629.055585,1631.366034,2310.449
33,TCGA-A2-A0CM-01Z-00-DX1.AC4901DE-4B6D-4185-BB9F-156033839828,tiff5x,5960235,1665.652201,1667.427421,1775.219
34,TCGA-A2-A0CO-01Z-00-DX1.B191DADE-7DEA-4575-AED7-1C52BE15B8D5,tiff5x,6503083,1704.855058,1706.524672,1669.614
35,TCGA-A2-A0CP-01Z-00-DX1.ECFD263C-BB17-4ADA-8F2C-654C2AA4C45F,tiff5x,4394908,1730.148025,1730.972601,824.576
36,TCGA-A2-A0CQ-01Z-00-DX1.4E5FB4E5-A08C-4C87-A3BE-0640A95AE649,tiff5x,3790988,1750.425014,1751.680625,1255.610
