step_idx,phase,t_step_start_s,t_step_end_s,step_duration_ms,t_dataload_ms,t_forward_ms,samples_per_step,slide_id_in_step,world_size
32,steady,35.234641,36.317978,1083.337,1.752,1081.523,256,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,1
33,steady,36.329666,37.412322,1082.656,1.752,1080.846,256,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,1
34,steady,37.423552,38.505652,1082.100,1.752,1080.294,256,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,1
35,steady,38.517270,39.590387,1073.117,1.748,1071.310,256,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,1
36,steady,39.598187,40.376444,778.257,1.050,777.157,157,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,1
37,steady,40.550603,41.630043,1079.440,1.797,1077.564,256,TCGA-A2-A0EO-01Z-00-DX1.D7A09E23-2CAB-4B3B-814C-BF0BA75B7589,1
38,steady,41.641054,42.720130,1079.076,1.748,1077.272,256,TCGA-A2-A0EO-01Z-00-DX1.D7A09E23-2CAB-4B3B-814C-BF0BA75B7589,1
39,steady,42.731875,43.814074,1082.199,1.756,1080.387,256,TCGA-A2-A0EO-01Z-00-DX1.D7A09E23-2CAB-4B3B-814C-BF0BA75B7589,1
40,steady,43.825562,44.908365,1082.803,1.749,1080.996,256,TCGA-A2-A0EO-01Z-00-DX1.D7A09E23-2CAB-4B3B-814C-BF0BA75B7589,1
41,steady,44.919165,46.002201,1083.036,1.746,1081.235,256,TCGA-A2-A0EO-01Z-00-DX1.D7A09E23-2CAB-4B3B-814C-BF0BA75B7589,1
42,steady,46.014216,47.096746,1082.530,1.754,1080.718,256,TCGA-A2-A0EO-01Z-00-DX1.D7A09E23-2CAB-4B3B-814C-BF0BA75B7589,1
43,steady,47.108063,48.191870,1083.807,1.743,1082.008,256,TCGA-A2-A0EO-01Z-00-DX1.D7A09E23-2CAB-4B3B-814C-BF0BA75B7589,1
44,steady,48.203409,49.288412,1085.003,1.755,1083.191,256,TCGA-A2-A0EO-01Z-00-DX1.D7A09E23-2CAB-4B3B-814C-BF0BA75B7589,1
45,steady,49.300300,50.385753,1085.453,1.761,1083.635,256,TCGA-A2-A0EO-01Z-00-DX1.D7A09E23-2CAB-4B3B-814C-BF0BA75B7589,1
46,steady,50.395931,51.484237,1088.306,1.757,1086.493,256,TCGA-A2-A0EO-01Z-00-DX1.D7A09E23-2CAB-4B3B-814C-BF0BA75B7589,1
47,steady,51.496444,52.586716,1090.272,1.806,1088.372,256,TCGA-A2-A0EO-01Z-00-DX1.D7A09E23-2CAB-4B3B-814C-BF0BA75B7589,1
48,steady,52.598242,53.688275,1090.033,1.756,1088.218,256,TCGA-A2-A0EO-01Z-00-DX1.D7A09E23-2CAB-4B3B-814C-BF0BA75B7589,1
49,steady,53.699682,54.790635,1090.953,1.756,1089.139,256,TCGA-A2-A0EO-01Z-00-DX1.D7A09E23-2CAB-4B3B-814C-BF0BA75B7589,1
50,steady,54.802459,55.899259,1096.799,1.752,1094.988,256,TCGA-A2-A0EO-01Z-00-DX1.D7A09E23-2CAB-4B3B-814C-BF0BA75B7589,1
51,steady,55.910361,57.005352,1094.991,1.748,1093.188,256,TCGA-A2-A0EO-01Z-00-DX1.D7A09E23-2CAB-4B3B-814C-BF0BA75B7589,1
