step_idx,phase,t_step_start_s,t_step_end_s,step_duration_ms,t_dataload_ms,t_forward_ms,samples_per_step,slide_id_in_step,world_size
0,ramp,0.390572,1.716768,1326.197,15.554,1310.541,256,TCGA-LD-A9QF-01Z-00-DX1.092108DF-1A60-459E-ACE6-5A71826A98D1,4
1,ramp,1.729417,2.606936,877.519,1.822,875.564,256,TCGA-LD-A9QF-01Z-00-DX1.092108DF-1A60-459E-ACE6-5A71826A98D1,4
2,ramp,2.618363,3.495012,876.649,1.755,874.836,256,TCGA-LD-A9QF-01Z-00-DX1.092108DF-1A60-459E-ACE6-5A71826A98D1,4
3,ramp,3.506329,4.383489,877.160,1.745,875.372,256,TCGA-LD-A9QF-01Z-00-DX1.092108DF-1A60-459E-ACE6-5A71826A98D1,4
4,ramp,4.394778,5.272333,877.556,1.764,875.745,256,TCGA-LD-A9QF-01Z-00-DX1.092108DF-1A60-459E-ACE6-5A71826A98D1,4
5,ramp,5.283544,6.162757,879.213,1.750,877.412,256,TCGA-LD-A9QF-01Z-00-DX1.092108DF-1A60-459E-ACE6-5A71826A98D1,4
6,ramp,6.174113,7.053211,879.098,1.761,877.289,256,TCGA-LD-A9QF-01Z-00-DX1.092108DF-1A60-459E-ACE6-5A71826A98D1,4
7,ramp,7.065026,7.944718,879.691,1.747,877.898,256,TCGA-LD-A9QF-01Z-00-DX1.092108DF-1A60-459E-ACE6-5A71826A98D1,4
8,ramp,7.956439,8.836268,879.828,1.751,878.032,256,TCGA-LD-A9QF-01Z-00-DX1.092108DF-1A60-459E-ACE6-5A71826A98D1,4
9,ramp,8.848697,9.728845,880.148,1.748,878.350,256,TCGA-LD-A9QF-01Z-00-DX1.092108DF-1A60-459E-ACE6-5A71826A98D1,4
10,steady,9.741169,10.622418,881.249,1.785,879.382,256,TCGA-LD-A9QF-01Z-00-DX1.092108DF-1A60-459E-ACE6-5A71826A98D1,4
