slide_id,elapsed_seconds,error
normal_001,0.033148,
normal_002,0.027883,
normal_003,0.026742,
normal_004,0.027676,
normal_005,0.027624,
normal_006,0.027600,
normal_007,0.027821,
normal_008,0.026991,
normal_009,0.027307,
normal_010,0.026714,
normal_011,0.028845,
normal_012,0.026641,
normal_013,0.028959,
normal_014,0.027509,
normal_015,0.028216,
normal_016,0.026704,
normal_017,0.028752,
normal_018,0.027513,
normal_019,0.026577,
normal_020,0.028267,
normal_021,0.026515,
normal_022,0.028817,
normal_023,0.026110,
normal_024,0.029183,
normal_025,0.027878,
normal_026,0.036377,
normal_027,0.027418,
normal_028,0.025981,
normal_029,0.027208,
normal_030,0.027559,
normal_031,0.028698,
normal_032,0.027408,
normal_033,0.027653,
normal_034,0.029043,
normal_035,0.031355,
normal_036,0.027986,
normal_037,0.028663,
normal_038,0.027678,
normal_039,0.028749,
normal_040,0.029366,
normal_041,0.027833,
normal_042,0.026554,
normal_043,0.027766,
normal_044,0.027982,
normal_045,0.027832,
normal_046,0.026716,
normal_047,0.027332,
normal_048,0.026726,
normal_049,0.026474,
normal_050,0.027931,
normal_051,0.027991,
normal_052,0.030757,
normal_053,0.030314,
normal_054,0.026793,
normal_055,0.028804,
normal_056,0.028050,
normal_057,0.027749,
normal_058,0.028507,
normal_059,0.027379,
normal_060,0.029023,
normal_061,0.028792,
normal_062,0.027849,
normal_063,0.028603,
normal_064,0.029831,
normal_065,0.026437,
normal_066,0.029376,
normal_067,0.029190,
normal_068,0.028749,
normal_069,0.027905,
normal_070,0.030819,
normal_071,0.027289,
normal_072,0.028975,
normal_073,0.027758,
normal_074,0.028450,
normal_075,0.028741,
normal_076,0.030809,
normal_077,0.027806,
normal_078,0.027143,
normal_079,0.028645,
normal_080,0.031030,
normal_081,0.029231,
normal_082,0.029565,
normal_083,0.026520,
normal_084,0.027652,
normal_085,0.027844,
normal_087,0.028606,
normal_088,0.032524,
normal_089,0.030020,
normal_090,0.030201,
normal_091,0.030642,
normal_092,0.027687,
normal_093,0.026552,
normal_094,0.030838,
normal_095,0.029487,
normal_096,0.029819,
normal_097,0.028603,
normal_098,0.028158,
normal_099,0.027558,
normal_100,0.028622,
normal_101,0.016910,
normal_102,0.014482,
normal_103,0.012601,
normal_104,0.015430,
normal_105,0.017466,
normal_106,0.015360,
